"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2015",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
Changi,Total,"2,530",180,230,220,150,130,100,170,240,290,220,140,120,90,90,50,30,30,40,,,
,Changi Airport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Changi Point,790,20,30,40,40,40,40,30,50,60,70,70,70,60,60,30,20,20,30,,,
,Changi West,"1,740",160,200,180,110,90,70,140,190,230,150,70,40,30,30,20,10,10,10,,,
Changi Bay,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Changi Bay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Choa Chu Kang,Total,"174,330","7,170","9,340","11,380","14,820","15,230","11,940","11,540","11,960","13,710","15,990","16,190","12,910","8,830","5,650","2,990","2,220","1,430","1,040",,,
,Choa Chu Kang Central,"21,400",820,"1,130","1,340","1,760","1,980","1,500","1,300","1,490","1,720","1,990","2,080","1,570","1,060",710,400,270,150,120,,,
,Choa Chu Kang North,"34,380","1,150","1,750","2,610","3,740","3,290","2,160","1,870","1,890","2,490","3,780","3,490","2,410","1,500",930,500,390,270,180,,,
,Keat Hong,"15,660",520,780,"1,000","1,410","1,580","1,060",950,"1,010","1,140","1,440","1,580","1,240",800,500,240,190,140,100,,,
,Peng Siang,"32,130","1,470","1,630","1,940","2,490","2,810","2,420","2,480","2,180","2,440","2,680","2,880","2,410","1,800","1,160",510,380,270,220,,,
,Teck Whye,"27,040","1,040","1,160","1,470","1,980","2,500","2,050","1,790","1,560","1,830","2,090","2,620","2,230","1,720","1,190",740,510,320,230,,,
,Yew Tee,"43,710","2,170","2,900","3,020","3,440","3,070","2,750","3,160","3,830","4,080","4,010","3,530","3,060","1,950","1,170",620,480,290,200,,,
Clementi,Total,"91,630","3,910","4,420","4,480","4,690","4,850","5,820","6,630","7,310","7,600","6,950","6,960","6,550","6,630","6,200","3,350","2,600","1,480","1,200",,,
,Clementi Central,"13,490",560,700,660,660,700,780,"1,000","1,110","1,170","1,010",990,980,940,880,520,400,230,190,,,
,Clementi North,"28,730","1,080","1,150","1,160","1,310","1,360","1,850","2,130","2,310","2,400","2,030","2,140","2,000","2,230","2,240","1,220","1,020",600,500,,,
,Clementi West,"16,470",690,750,850,880,890,"1,000","1,240","1,310","1,330","1,310","1,280","1,330","1,260","1,060",530,380,210,150,,,
,Clementi Woods,"16,400",830,800,790,850,860,"1,160","1,340","1,310","1,230","1,200","1,290","1,120","1,080","1,090",570,440,250,200,,,
,Faber,"4,320",170,300,290,300,290,290,200,310,370,370,360,300,280,190,140,80,50,40,,,
,Pandan,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sunset Way,"6,290",220,270,300,370,410,460,380,400,440,510,500,490,530,440,230,170,100,70,,,
,Toh Tuck,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,West Coast,"5,890",360,450,420,340,340,280,350,560,650,510,400,340,310,290,140,100,40,40,,,
Downtown Core,Total,"3,720",120,100,100,120,140,210,330,370,360,330,280,280,250,250,140,140,70,130,,,
,Anson,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bayfront Subzone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bugis,"2,330",60,60,60,90,110,130,160,160,170,190,160,190,210,210,120,130,60,80,,,
,Cecil,160,10,10,10,-,-,10,30,30,20,20,20,10,-,-,-,-,-,-,,,
,Central Subzone,480,30,20,10,20,20,30,50,80,70,50,40,30,20,10,10,-,-,-,,,
,City Hall,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Clifford Pier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina Centre,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Maxwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Phillip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Raffles Place,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tanjong Pagar,520,10,10,10,10,10,30,70,70,70,50,50,30,20,20,10,10,10,50,,,
Geylang,Total,"116,960","4,490","5,350","5,420","6,320","7,540","8,130","8,180","8,720","9,000","8,790","9,610","9,620","8,070","6,460","3,890","3,290","2,240","1,850",,,
,Aljunied,"41,710","1,530","1,930","1,880","2,120","2,450","2,810","2,920","3,240","3,560","3,210","3,390","3,370","2,880","2,310","1,380","1,190",810,740,,,
,Geylang East,"33,380","1,490","1,630","1,490","1,760","2,100","2,250","2,520","2,740","2,590","2,330","2,490","2,570","2,270","2,050","1,080",900,600,510,,,
,Kallang Way,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Kampong Ubi,"13,210",480,600,690,830,"1,080","1,210","1,000",930,880,880,"1,160","1,230",940,600,320,180,110,90,,,
,Macpherson,"28,630",980,"1,190","1,360","1,620","1,910","1,860","1,730","1,810","1,960","2,380","2,570","2,460","1,980","1,510","1,100","1,020",710,500,,,
Hougang,Total,"222,310","8,390","10,010","11,670","14,390","16,830","16,650","15,010","14,840","16,700","17,010","19,620","19,270","15,060","10,830","5,970","4,670","3,050","2,340",,,
,Defu Industrial Park,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Hougang Central,"4,830",140,210,270,360,410,380,280,270,320,420,430,430,320,220,120,110,70,60,,,
,Hougang East,"21,940","1,010",880,960,"1,380","1,910","2,020","1,880","1,510","1,430","1,480","2,010","1,870","1,420",950,500,340,220,170,,,
,Hougang West,"50,120","1,640","1,920","2,250","3,110","4,190","4,250","3,400","3,060","3,450","3,700","4,820","4,830","3,710","2,530","1,300",940,610,420,,,
,Kangkar,"26,080","1,040","1,140","1,440","1,570","1,790","1,870","1,830","1,790","2,100","2,030","2,250","2,170","1,720","1,280",780,650,380,270,,,
,Kovan,"25,640",970,"1,190","1,430","1,740","2,000","1,930","1,580","1,720","2,030","1,840","2,090","2,190","1,720","1,270",680,580,350,340,,,
,Lorong Ah Soo,"34,180","1,170","1,460","1,730","1,980","2,230","2,340","2,290","2,370","2,630","2,620","2,760","2,900","2,510","2,000","1,200",940,620,440,,,
,Lorong Halus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tai Seng,"14,700",560,740,830,"1,040","1,050","1,020",860,910,"1,080","1,110","1,240","1,190","1,010",720,450,410,280,240,,,
,Trafalgar,"44,800","1,870","2,470","2,770","3,210","3,250","2,840","2,900","3,220","3,660","3,800","4,030","3,690","2,650","1,860",950,710,530,400,,,
Jurong East,Total,"84,980","3,290","3,880","4,550","4,970","5,760","6,570","6,360","6,070","6,530","6,240","6,720","7,020","6,420","4,760","2,360","1,690","1,040",760,,,
,International Business Park,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong Gateway,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong Port,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong River,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Lakeside,"1,010",30,30,30,40,60,80,90,70,70,90,80,70,80,70,60,30,20,10,,,
,Penjuru Crescent,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Teban Gardens,"19,080",880,920,970,"1,050","1,180","1,320","1,540","1,460","1,420","1,310","1,410","1,410","1,530","1,260",630,410,220,170,,,
,Toh Guan,"16,510",640,800,"1,010","1,070","1,260","1,400","1,200","1,140","1,300","1,290","1,390","1,490","1,120",680,290,210,160,100,,,
,Yuhua East,"27,460",970,"1,150","1,420","1,520","1,800","2,090","2,080","2,000","2,120","2,010","2,140","2,310","2,120","1,660",830,610,380,270,,,
,Yuhua West,"20,870",780,970,"1,120","1,290","1,450","1,670","1,450","1,400","1,620","1,550","1,700","1,740","1,570","1,090",560,440,270,210,,,
Jurong West,Total,"272,660","13,600","15,900","16,700","18,020","19,070","19,930","22,540","23,410","23,070","21,680","20,670","19,100","15,870","10,820","5,250","3,550","2,080","1,410",,,
,Boon Lay Place,"31,100","1,930","1,830","1,740","1,990","1,990","2,280","2,830","2,340","2,440","2,530","2,390","2,060","1,760","1,280",760,500,270,190,,,
,Chin Bee,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Hong Kah,"56,870","2,120","2,660","3,200","3,530","3,820","4,320","4,210","4,320","4,580","4,320","4,350","4,590","4,230","3,080","1,530","1,020",600,400,,,
,Jurong West Central,"68,200","4,170","4,890","4,420","3,900","3,840","4,970","6,520","7,430","6,640","5,000","4,400","4,300","3,450","2,150",890,630,380,260,,,
,Kian Teck,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Safti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Taman Jurong,"36,940","1,890","2,060","2,270","2,620","2,600","2,620","3,000","2,860","3,010","3,200","2,850","2,600","2,070","1,440",760,530,350,230,,,
,Wenya,"8,610",700,780,560,370,360,530,"1,030","1,130",840,590,440,430,360,240,120,70,40,20,,,
,Yunnan,"70,890","2,780","3,680","4,500","5,620","6,470","5,210","4,950","5,330","5,560","6,030","6,240","5,130","3,990","2,630","1,200",800,440,310,,,
Kallang,Total,"101,210","4,340","4,440","4,480","4,750","5,120","6,120","7,250","8,260","8,610","7,770","7,820","7,840","7,060","6,100","3,910","3,400","2,130","1,810",,,
,Bendemeer,"33,830","1,660","1,470","1,380","1,530","1,690","2,260","2,820","2,950","2,760","2,390","2,380","2,600","2,400","1,960","1,280","1,040",660,580,,,
,Boon Keng,"10,970",480,430,480,510,610,680,850,860,820,860,860,900,750,650,400,380,240,210,,,
,Crawford,"9,740",300,320,350,370,460,480,510,560,630,690,870,880,820,820,560,520,330,270,,,
,Geylang Bahru,"12,870",400,520,620,690,660,780,760,950,"1,090","1,070","1,090","1,020",880,750,520,490,330,250,,,
,Kallang Bahru,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Kampong Bugis,890,40,20,30,40,60,80,80,70,60,50,70,90,80,60,30,20,20,10,,,
,Kampong Java,"11,260",460,550,500,550,580,640,750,930,"1,040",860,860,800,770,750,420,390,220,200,,,
,Lavender,"10,320",420,480,480,450,530,640,740,830,930,780,810,790,730,640,380,330,200,160,,,
,Tanjong Rhu,"11,310",590,660,650,590,520,570,740,"1,100","1,280","1,080",890,750,640,460,320,220,130,130,,,
Lim Chu Kang,Total,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Lim Chu Kang,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mandai,Total,"2,120",90,120,150,170,150,140,150,170,190,180,170,140,90,80,50,40,20,10,,,
,Mandai East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Mandai Estate,"2,120",90,120,150,170,150,140,150,170,190,180,170,140,90,80,50,40,20,10,,,
,Mandai West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marina East,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marina South,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina South,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marine Parade,Total,"48,730","2,180","2,710","2,690","2,600","2,690","2,610","2,880","3,860","4,580","3,830","3,680","3,370","2,890","2,760","1,780","1,650","1,030",940,,,
,East Coast,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Katong,"9,620",410,530,550,530,590,520,620,830,960,760,740,650,590,470,280,250,170,190,,,
,Marina East (Mp),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marine Parade,"28,910","1,310","1,610","1,530","1,480","1,460","1,490","1,630","2,230","2,670","2,280","2,120","2,000","1,700","1,720","1,230","1,180",700,590,,,
,Mountbatten,"10,210",460,560,620,600,640,600,640,810,950,790,830,720,600,570,280,220,160,160,,,
Museum,Total,380,20,20,10,10,20,10,40,60,50,30,40,20,20,10,10,-,10,10,,,
,Bras Basah,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Dhoby Ghaut,210,10,10,-,-,10,10,30,40,30,20,30,10,10,10,-,-,-,-,,,
,Fort Canning,160,10,10,10,10,-,-,10,20,30,10,20,10,10,10,-,-,-,-,,,
Newton,Total,"6,920",300,470,330,330,340,340,400,580,740,660,610,470,430,360,180,160,120,110,,,
,Cairnhill,"3,330",150,230,150,150,160,180,220,280,360,310,280,210,200,170,90,80,60,50,,,
,Goodwood Park,910,50,90,60,40,40,40,50,90,110,90,70,50,40,30,10,10,20,20,,,
,Istana Negara,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Monk's Hill,980,30,70,70,60,50,50,60,70,110,90,90,60,50,50,30,30,20,20,,,
,Newton Circus,230,20,20,10,10,10,10,20,30,20,30,20,10,10,10,-,-,-,-,,,
,Orange Grove,"1,440",60,70,50,70,70,70,60,120,130,140,150,120,130,110,40,30,20,10,,,
North-Eastern Islands,Total,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,North-Eastern Islands,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Novena,Total,"47,990","2,260","2,770","2,510","2,540","2,570","2,640","3,030","3,980","4,510","3,910","3,710","3,360","2,860","2,460","1,590","1,380",980,930,,,
,Balestier,"32,340","1,440","1,540","1,530","1,640","1,740","1,860","2,190","2,680","2,920","2,580","2,480","2,370","1,990","1,770","1,170","1,040",710,680,,,
,Dunearn,"3,900",140,240,260,280,250,190,180,210,320,330,330,280,260,210,140,120,90,80,,,
,Malcolm,"2,630",100,210,170,150,170,130,110,170,230,200,220,210,160,150,90,60,50,60,,,
,Moulmein,"8,470",560,760,520,420,350,410,510,890,"1,000",740,630,450,410,290,180,150,110,100,,,
,Mount Pleasant,650,20,30,40,50,50,50,40,30,30,50,50,60,50,40,20,10,10,20,,,
Orchard,Total,920,40,60,40,30,30,50,60,70,90,80,70,80,70,70,30,20,10,20,,,
,Boulevard,400,10,20,20,10,10,30,30,30,40,40,30,40,40,30,10,10,10,10,,,
,Somerset,130,-,10,10,10,-,10,10,10,10,10,10,10,10,10,10,-,-,10,,,
,Tanglin,390,20,30,20,20,20,20,20,40,40,40,40,40,20,30,10,10,-,-,,,
Outram,Total,"22,080","1,290","1,080",710,750,830,"1,160","1,680","2,140","1,730","1,470","1,590","1,650","1,590","1,470",930,850,550,610,,,
,China Square,"1,590",50,30,30,50,70,90,110,100,120,110,140,140,170,150,90,70,40,40,,,
,Chinatown,"11,880",930,760,390,360,410,530,"1,050","1,560","1,060",770,760,710,650,630,390,380,250,290,,,
,Pearl's Hill,"8,230",300,290,280,330,340,500,480,430,510,580,670,770,730,660,450,390,240,280,,,
,People's Park,390,10,-,10,10,20,40,40,50,40,20,20,30,40,30,10,10,10,10,,,
Pasir Ris,Total,"139,890","5,760","7,100","9,020","12,330","13,410","9,100","7,980","9,090","10,360","12,960","14,080","10,480","7,040","4,470","2,340","1,900","1,350","1,140",,,
,Flora Drive,"12,950",570,690,840,970,"1,030",750,700,990,"1,110","1,220","1,180",950,720,440,260,210,140,210,,,
,Loyang East,"2,190",70,100,120,160,200,150,110,130,150,170,200,220,170,100,60,30,30,30,,,
,Loyang West,200,-,-,-,-,-,-,-,-,-,10,-,10,10,10,10,30,40,70,,,
,Pasir Ris Central,"25,730","1,260","1,290","1,550","2,110","2,320","1,970","1,820","1,690","1,860","2,210","2,570","1,920","1,230",790,400,330,230,160,,,
,Pasir Ris Drive,"59,480","2,190","2,860","3,680","5,290","6,330","4,110","3,120","3,500","3,970","5,210","6,170","4,860","3,250","2,110","1,040",810,560,430,,,
,Pasir Ris Park,"2,980",180,210,210,220,190,150,190,340,350,280,270,140,100,50,40,20,10,20,,,
,Pasir Ris Wafer Fab Park,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
