"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2012",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
Bishan,Total,"92,710","3,870","4,660","5,240","6,540","7,210","5,710","6,170","6,960","7,220","7,690","8,150","7,390","5,870","3,450","2,780","1,760","1,140",900,,,
,Bishan East,"30,130","1,290","1,430","1,460","1,870","2,520","2,080","2,170","2,360","2,270","2,260","2,640","2,510","2,100","1,130",940,560,290,240,,,
,Marymount,"31,300","1,410","1,720","1,980","2,540","2,480","1,900","2,190","2,430","2,450","2,870","2,810","2,290","1,690",950,660,410,310,220,,,
,Upper Thomson,"31,280","1,170","1,510","1,800","2,130","2,200","1,740","1,820","2,170","2,500","2,560","2,700","2,590","2,080","1,360","1,170",790,550,440,,,
Boon Lay,Total,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Shipyard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tukang,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bukit Batok,Total,"142,620","6,410","7,650","9,220","10,000","10,780","10,460","10,590","11,250","11,660","12,510","12,600","10,990","7,690","4,010","2,940","1,850","1,190",830,,,
,Brickworks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bukit Batok Central,"26,340","1,260","1,410","1,590","1,650","1,970","2,050","1,960","2,130","2,160","2,160","2,220","2,090","1,450",800,600,380,250,190,,,
,Bukit Batok East,"15,410",610,750,870,940,1160,"1,270","1,210","1,230","1,210","1,250","1,420","1,320",930,470,360,220,130,80,,,
,Bukit Batok South,"14,450",610,790,1100,"1,250","1,240","1,050",980,1010,1200,"1,390","1,350","1,070",630,300,200,130,100,50,,,
,Bukit Batok West,"15,820",710,880,1010,1050,"1,090","1,160","1,240","1,230","1,280","1,300","1,390","1,250",940,470,310,240,150,110,,,
,Gombak,"9,290",630,490,460,510,530,700,1040,890,660,660,610,620,530,330,280,170,110,80,,,
,Guilin,"13,580",600,750,860,950,950,950,1010,"1,220","1,240","1,250","1,140",930,710,370,290,140,110,100,,,
,Hillview,"18,140",670,1010,"1,500","1,650","1,380",940,920,"1,290","1,610","2,020","1,730","1,320",960,450,300,200,130,90,,,
,Hong Kah North,"29,590","1,330","1,560","1,820","2,000","2,460","2,350","2,230","2,260","2,310","2,480","2,740","2,390","1,540",820,600,370,220,130,,,
Bukit Merah,Total,"157,170","7,770","6,940","6,870","7,240","8,170","9,540","12,930","13,650","11,990","11,720","11,810","11,640","11,260","7,830","7,310","4,800","3,120","2,570",,,
,Alexandra Hill,"16,340",720,770,800,890,1030,"1,080",1080,1220,"1,120","1,250","1,280","1,260","1,260",780,700,500,310,290,,,
,Alexandra North,890,50,50,60,50,40,40,90,110,110,100,50,60,30,20,20,10,-,10,,,
,Bukit Ho Swee,"17,600",730,650,730,810,1010,"1,200","1,330","1,240","1,190","1,380","1,460","1,470","1,320",920,860,620,380,320,,,
,Bukit Merah,"1,240",50,60,70,70,70,80,70,100,110,100,90,90,100,70,50,20,20,20,,,
,City Terminals,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Depot Road,"4,170",280,180,160,190,180,260,440,470,320,290,260,260,300,200,160,100,70,50,,,
,Everton Park,"8,590",380,380,320,310,390,540,720,880,710,550,580,690,680,450,430,260,190,150,,,
,Henderson Hill,"14,150",600,590,670,720,800,840,950,1050,1090,1110,1070,"1,030",1010,780,730,530,340,250,,,
,Kampong Tiong Bahru,"11,060",410,450,470,500,590,700,790,830,820,830,880,920,890,610,590,390,210,190,,,
,Maritime Square,"2,040",120,100,110,80,80,100,200,260,250,230,160,120,90,60,40,20,10,20,,,
,Redhill,"12,090",960,580,500,570,540,670,1270,"1,220",910,890,890,720,640,470,470,330,240,240,,,
,Singapore General Hospital,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Telok Blangah Drive,"16,240",690,740,750,720,900,950,"1,310","1,420","1,270","1,220","1,230","1,150","1,240",850,800,500,290,210,,,
,Telok Blangah Rise,"14,530",490,580,640,760,850,890,1110,"1,180","1,090",1010,1060,"1,240","1,260",860,690,390,240,190,,,
,Telok Blangah Way,"11,020",530,480,470,460,500,590,840,950,820,850,930,870,810,580,550,380,250,190,,,
,Tiong Bahru,"10,250",590,410,350,350,410,570,"1,070","1,080",750,700,690,760,730,530,500,290,250,220,,,
,Tiong Bahru Station,"16,940",1160,930,760,770,770,1040,"1,670","1,650","1,440","1,220","1,170","1,010",930,650,750,470,330,230,,,
Bukit Panjang,Total,"130,960","6,710","7,800","9,040","9,710","10,710","9,110","9,580","10,630","10,510","11,100","11,230","9,090","6,270","3,510","2,530","1,630","1,050",760,,,
,Bangkit,"25,160",1000,1200,"1,530","1,900","2,250","1,810","1,620","1,750","1,780","2,300","2,390","1,900","1,340",850,670,410,280,200,,,
,Dairy Farm,"3,800",140,180,230,310,370,270,170,230,280,320,390,350,240,130,70,50,40,30,,,
,Fajar,"24,290","1,490","1,500","1,590","1,790","2,000","1,760","2,050","2,080","1,890","2,000","1,910","1,540","1,050",620,440,290,160,120,,,
,Jelebu,"35,020","1,550","1,930","2,450","2,700","3,020","2,340","2,280","2,670","2,860","3,080","3,180","2,540","1,790","1,010",740,470,260,180,,,
,Nature Reserve,"3,770",190,230,290,280,260,200,240,300,370,370,310,270,200,100,70,50,30,30,,,
,Saujana,"22,070","1,130","1,400","1,640","1,750","1,790","1,650","1,690","1,700","1,810","1,790","1,930","1,560","1,020",460,280,200,170,100,,,
,Senja,"16,860","1,220","1,370","1,300",980,"1,020","1,100","1,530","1,910","1,530","1,240","1,120",930,630,340,260,180,110,110,,,
Bukit Timah,Total,"71,910","3,210","4,540","4,660","5,100","5,020","3,690","3,790","5,430","6,440","6,210","5,790","5,050","4,400","2,930","2,300","1,530","1,040",800,,,
,Anak Bukit,"22,280",850,"1,280","1,420","1,770","1,860","1,370","1,200","1,500","1,740","1,840","1,940","1,710","1,350",850,700,440,270,200,,,
,Coronation Road,"6,020",300,410,390,400,440,260,300,510,570,490,420,350,360,280,220,150,90,90,,,
,Farrer Court,"3,730",150,220,220,190,190,200,220,260,300,320,310,250,260,170,160,150,100,70,,,
,Hillcrest,"8,780",470,660,600,560,530,350,420,750,890,820,700,510,450,340,290,190,160,100,,,
,Holland Road,"9,350",490,700,680,680,550,410,450,780,980,850,720,610,500,300,280,170,110,100,,,
,Leedon Park,"5,960",280,310,320,370,370,300,390,500,570,540,450,450,390,300,170,100,90,70,,,
,Swiss Club,"5,240",210,340,380,370,340,260,260,350,490,480,420,370,290,210,140,130,120,80,,,
,Ulu Pandan,"10,560",460,620,640,760,740,540,550,790,910,870,830,800,790,470,350,210,120,110,,,
Central Water Catchment,Total,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Central Water Catchment,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Changi,Total,"2,470",200,220,190,140,130,110,210,300,240,230,130,100,80,50,50,30,20,40,,,
,Changi Airport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Changi Point,790,20,20,40,40,50,40,30,70,70,90,80,70,60,30,30,20,20,30,,,
,Changi West,"1,680",170,190,150,100,90,70,180,240,170,130,60,30,30,20,20,10,10,-,,,
Changi Bay,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Changi Bay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Choa Chu Kang,Total,"174,190","8,310","10,410","13,620","16,150","13,210","11,340","12,200","13,340","15,410","17,410","14,430","10,750","7,070","3,740","2,840","1,900","1,260",820,,,
,Choa Chu Kang Central,"20,400",810,"1,100","1,530","2,010","1,690","1,360","1,280","1,460","1,750","2,180","1,810","1,270",840,480,370,220,130,110,,,
,Choa Chu Kang North,"34,150","1,420","2,190","3,400","3,910","2,540","1,840","1,760","2,200","3,440","4,040","2,860","1,860","1,070",540,440,300,220,110,,,
,Keat Hong,"16,270",680,870,"1,270","1,740","1,320","1,000",1100,"1,140","1,390","1,720","1,420","1,010",670,330,230,180,130,90,,,
,Peng Siang,"31,420","1,430","1,800","2,300","2,880","2,370","2,220","2,320","2,310","2,620","3,000","2,660","2,100","1,460",690,480,340,250,180,,,
,Teck Whye,"26,850","1,060","1,260","1,690","2,250","2,380","1,980","1,770","1,770","1,940","2,520","2,320","1,990","1,490",880,700,450,270,150,,,
,Yew Tee,"45,100","2,910","3,200","3,430","3,360","2,910","2,950","3,970","4,460","4,270","3,940","3,350","2,520","1,540",840,610,410,260,170,,,
Clementi,Total,"91,240","4,120","4,360","4,670","4,760","5,090","5,790","7,350","7,670","7,350","7,480","6,700","6,900","6,930","4,360","3,410","2,050","1,280",970,,,
,Clementi Central,"13,890",670,700,670,690,700,850,"1,230","1,260","1,130","1,070",1000,1020,1050,620,510,350,210,150,,,
,Clementi North,"29,000","1,160","1,150","1,290","1,280","1,410","1,940","2,420","2,470","2,220","2,290","1,990","2,250","2,460","1,630","1,340",780,520,410,,,
,Clementi West,"17,170",790,820,910,930,1000,"1,130","1,450","1,420","1,390","1,460","1,330","1,380","1,240",750,540,330,200,120,,,
,Clementi Woods,"14,870",670,700,760,800,930,940,"1,170","1,160","1,150","1,260","1,150","1,130","1,110",710,560,340,200,150,,,
,Faber,"4,430",200,290,340,330,290,230,240,330,450,410,370,280,250,150,130,70,30,40,,,
,Pandan,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sunset Way,"6,570",270,320,360,420,440,440,420,450,500,580,500,540,520,300,230,140,90,70,,,
,Toh Tuck,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,West Coast,"5,270",370,390,330,310,310,270,400,580,500,420,360,310,300,210,110,50,40,30,,,
Downtown Core,Total,"3,690",120,110,110,130,170,230,320,360,370,310,280,250,290,190,180,100,70,100,,,
,Anson,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bayfront Subzone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bugis,"2,550",70,70,90,100,140,150,180,200,200,190,190,190,250,160,160,90,60,60,,,
,Cecil,140,10,-,10,-,-,10,10,30,20,20,10,10,-,-,-,-,-,-,,,
,Central Subzone,350,20,20,10,10,10,30,40,50,60,30,30,20,10,10,-,-,-,-,,,
,City Hall,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Clifford Pier,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina Centre,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Maxwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Phillip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Raffles Place,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tanjong Pagar,440,10,10,10,10,10,30,60,60,50,50,30,20,30,10,-,10,10,30,,,
Geylang,Total,"119,300","5,170","5,500","6,130","7,160","7,950","8,060","8,960","9,480","8,910","9,620","9,960","9,250","7,480","4,880","4,330","2,950","2,030","1,480",,,
,Aljunied,"41,820","1,810","1,910","2,030","2,320","2,520","2,770","3,080","3,700","3,280","3,400","3,460","3,210","2,680","1,700","1,550","1,040",770,580,,,
,Geylang East,"33,760","1,700","1,530","1,680","1,980","2,190","2,340","2,810","2,780","2,430","2,530","2,560","2,600","2,260","1,460","1,160",800,540,400,,,
,Kallang Way,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Kampong Ubi,"13,800",550,700,800,1020,"1,290","1,180","1,070",960,910,1100,"1,310","1,140",770,430,280,150,100,60,,,
,Macpherson,"29,870",1110,"1,360","1,620","1,840","1,940","1,760","1,990","2,040","2,280","2,580","2,630","2,300","1,780","1,290","1,350",960,620,440,,,
Hougang,Total,"217,440","8,480","10,510","13,320","16,110","16,990","14,800","14,560","15,720","16,330","18,960","19,830","17,380","12,790","7,460","5,950","3,850","2,500","1,890",,,
,Defu Industrial Park,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Hougang Central,"5,060",210,260,340,410,410,340,310,310,430,460,480,360,260,150,120,110,70,50,,,
,Hougang East,"19,240",650,790,1070,"1,630","1,790","1,440","1,360","1,230","1,210","1,720","1,980","1,580","1,100",650,450,260,180,140,,,
,Hougang West,"52,870","1,920","2,230","2,920","4,020","4,710","3,990","3,550","3,540","3,710","4,730","5,200","4,460","3,200","1,800","1,260",830,500,330,,,
,Kangkar,"25,330",940,"1,310","1,610","1,700","1,790","1,620","1,660","2,000","2,000","2,250","2,210","2,020","1,470",910,810,500,320,230,,,
,Kovan,"24,600",1010,"1,170","1,510","1,860","2,120","1,620","1,510","1,770","1,800","1,930","2,180","2,040","1,490",840,750,400,310,300,,,
,Lorong Ah Soo,"33,900","1,120","1,490","1,940","2,140","2,320","2,330","2,360","2,360","2,520","2,790","2,900","2,920","2,320","1,500","1,230",800,530,350,,,
,Lorong Halus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tai Seng,"12,820",490,680,810,920,950,820,830,940,990,"1,070","1,060",970,780,440,420,310,200,160,,,
,Trafalgar,"43,590","2,140","2,590","3,120","3,420","2,930","2,640","2,980","3,580","3,690","4,020","3,820","3,040","2,150","1,190",920,640,410,320,,,
Jurong East,Total,"86,550","3,660","4,320","4,940","5,430","6,390","6,630","6,790","6,750","6,620","6,750","7,040","7,020","5,800","3,200","2,350","1,360",850,670,,,
,International Business Park,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong Gateway,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong River,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Lakeside,"1,100",40,40,30,50,70,100,80,110,100,80,80,80,90,50,50,30,10,10,,,
,Penjuru Crescent,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Teban Gardens,"19,260",910,950,1090,"1,130","1,320","1,390","1,600","1,500","1,400","1,430","1,420","1,500","1,520",910,560,320,190,140,,,
,Toh Guan,"17,280",790,930,"1,130","1,240","1,400","1,350","1,330","1,340","1,420","1,420","1,550","1,390",880,410,290,190,120,100,,,
,Yuhua East,"28,810",1090,"1,410","1,550","1,750","2,030","2,270","2,280","2,210","2,180","2,310","2,310","2,370","1,970","1,170",870,500,330,240,,,
,Yuhua West,"20,040",830,990,"1,130","1,260","1,550","1,510","1,500","1,590","1,510","1,520","1,680","1,670","1,340",670,580,330,210,180,,,
Jurong West,Total,"271,870","15,190","16,660","17,840","19,110","19,260","20,260","24,890","24,190","22,670","22,130","20,140","18,150","13,590","7,190","4,910","2,870","1,690","1,130",,,
,Boon Lay Place,"27,600","1,480","1,610","1,750","1,910","1,810","1,890","2,130","2,280","2,420","2,420","2,150","1,840","1,510",940,680,380,230,140,,,
,Chin Bee,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Hong Kah,"58,770","2,470","3,150","3,580","3,820","4,400","4,510","4,690","4,770","4,650","4,660","4,620","4,730","3,650","2,080","1,420",800,460,310,,,
,Jurong West Central,"69,680","5,250","4,980","4,320","3,790","4,280","5,650","8,230","7,680","5,940","4,780","4,550","4,100","2,890","1,330",850,540,310,220,,,
,Kian Teck,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Safti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Taman Jurong,"34,090","1,780","2,010","2,380","2,610","2,410","2,390","2,750","2,610","3,010","2,910","2,660","2,290","1,750",910,710,450,280,180,,,
,Wenya,"8,660",850,720,460,310,400,760,"1,290","1,060",690,490,440,440,320,170,120,60,40,50,,,
,Yunnan,"73,030","3,350","4,190","5,340","6,660","5,960","5,070","5,800","5,790","5,950","6,860","5,720","4,740","3,460","1,760","1,130",630,360,240,,,
Kallang,Total,"102,910","4,570","4,610","4,780","5,070","5,500","6,400","8,150","8,810","8,470","7,990","8,260","7,650","7,090","4,680","4,480","2,950","1,960","1,500",,,
,Bendemeer,"33,810","1,590","1,460","1,520","1,660","1,930","2,400","3,030","2,870","2,600","2,390","2,670","2,570","2,320","1,440","1,380",900,600,500,,,
,Boon Keng,"11,370",470,470,550,570,630,780,900,890,930,890,950,850,760,490,480,340,240,170,,,
,Crawford,"10,000",340,340,380,400,440,530,570,660,630,770,900,800,900,660,670,480,320,230,,,
,Geylang Bahru,"13,480",530,600,670,710,710,760,980,1120,"1,130","1,130","1,100",990,870,640,650,430,280,190,,,
,Kallang Bahru,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Kampong Bugis,880,20,30,30,50,80,80,70,60,40,60,80,100,80,40,30,20,10,10,,,
,Kampong Java,"11,720",550,580,570,580,600,630,950,1100,"1,050",920,850,810,840,550,500,290,200,170,,,
,Lavender,"10,510",500,510,450,510,610,650,820,910,870,820,860,760,750,470,460,300,170,120,,,
,Tanjong Rhu,"11,130",580,630,620,610,520,560,850,"1,180","1,220","1,010",850,770,570,400,320,190,140,120,,,
Lim Chu Kang,Total,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Lim Chu Kang,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mandai,Total,"2,080",120,130,170,170,150,120,140,160,210,180,160,120,90,70,40,30,20,10,,,
,Mandai East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Mandai Estate,"2,080",120,130,170,170,150,120,140,160,210,180,160,120,90,70,40,30,20,10,,,
,Mandai West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marina East,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marina South,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina South,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marine Parade,Total,"48,510","2,250","2,700","2,740","2,780","2,740","2,460","3,300","4,200","4,370","3,870","3,640","3,230","3,040","2,160","1,950","1,430",960,710,,,
,East Coast,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Katong,"9,500",440,580,560,610,560,480,650,870,930,760,710,610,550,340,310,230,160,160,,,
,Marina East (Mp),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marine Parade,"28,980","1,370","1,550","1,560","1,560","1,510","1,420","1,960","2,490","2,500","2,260","2,130","1,940","1,840","1,420","1,400","1,000",650,430,,,
,Mountbatten,"10,030",440,570,620,620,660,560,690,840,940,840,800,680,650,400,240,200,150,130,,,
Museum,Total,350,20,20,10,20,10,10,40,50,40,40,20,20,10,10,10,10,-,10,,,
,Bras Basah,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Dhoby Ghaut,200,10,10,10,10,10,10,30,30,20,20,10,10,10,-,-,-,-,-,,,
,Fort Canning,150,10,10,10,10,-,-,10,20,20,10,10,10,-,10,-,-,-,-,,,
Newton,Total,"6,480",320,430,330,350,330,280,370,620,700,620,510,440,420,260,190,130,100,90,,,
,Cairnhill,"3,020",150,190,150,140,160,150,190,290,310,270,240,200,220,120,90,70,50,40,,,
,Goodwood Park,780,50,80,40,40,30,30,30,100,100,80,50,50,30,20,20,10,10,20,,,
,Istana Negara,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Monk's Hill,1050,50,80,60,60,40,40,50,110,120,100,80,70,50,40,40,30,20,20,,,
,Newton Circus,160,10,10,10,10,-,-,20,20,20,20,10,10,10,10,-,-,-,-,,,
,Orange Grove,"1,430",60,70,70,90,90,50,70,110,150,150,130,130,110,70,40,20,10,10,,,
North-Eastern Islands,Total,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,North-Eastern Islands,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Novena,Total,"47,080","2,330","2,640","2,520","2,630","2,680","2,620","3,360","4,130","4,120","4,020","3,630","3,150","2,720","1,930","1,700","1,220",870,820,,,
,Balestier,"32,520","1,570","1,570","1,570","1,720","1,870","1,940","2,490","2,850","2,760","2,650","2,500","2,210","1,930","1,420","1,320",910,650,600,,,
,Dunearn,"3,770",160,220,260,300,230,160,160,230,320,380,320,270,230,170,130,100,80,70,,,
,Malcolm,"2,700",140,190,160,170,180,130,120,220,200,250,240,190,170,100,80,60,60,50,,,
,Moulmein,"7,450",450,630,490,390,350,360,540,820,810,680,500,440,340,210,160,130,80,90,,,
,Mount Pleasant,650,20,30,40,50,60,40,40,20,40,70,70,50,40,30,10,20,10,20,,,
Orchard,Total,880,40,50,30,30,40,40,60,90,90,80,80,70,70,40,20,20,10,20,,,
,Boulevard,390,20,20,10,10,20,20,30,40,40,30,30,30,30,20,10,10,10,10,,,
,Somerset,120,10,10,-,-,-,10,10,20,20,10,10,10,10,10,-,-,-,10,,,
,Tanglin,370,20,20,20,20,20,20,30,30,30,40,40,30,20,20,-,-,-,-,,,
Outram,Total,"22,040","1,340",840,670,760,950,"1,320","2,200","1,980","1,570","1,520","1,570","1,630","1,650","1,140","1,110",780,520,500,,,
,China Square,"1,690",40,30,50,70,70,120,120,120,120,120,150,170,170,120,110,50,40,30,,,
,Chinatown,"11,570",970,510,340,380,440,670,"1,540","1,300",870,760,710,660,700,470,450,360,220,240,,,
,Pearl's Hill,"8,350",330,300,270,300,410,480,500,510,550,620,690,760,740,530,550,350,250,230,,,
,People's Park,440,10,10,10,10,30,50,60,50,30,30,30,40,40,20,10,10,10,-,,,
Pasir Ris,Total,"135,900","6,170","7,720","11,000","14,030","10,770","7,240","8,200","9,740","11,450","14,930","12,030","8,430","5,490","2,910","2,260","1,570","1,080",900,,,
,Flora Drive,"11,940",570,690,900,1040,860,580,710,990,"1,040","1,210","1,000",820,530,290,220,160,150,180,,,
,Loyang East,"2,250",70,130,150,200,180,140,120,140,190,180,230,200,130,60,50,30,20,30,,,
,Loyang West,210,-,-,-,-,-,-,-,-,10,10,-,10,10,10,20,40,30,70,,,
,Pasir Ris Central,"22,280",970,"1,240","1,780","2,320","1,780","1,180","1,320","1,540","1,830","2,480","2,110","1,440",920,500,340,260,170,100,,,
,Pasir Ris Drive,"60,910","2,670","3,240","4,770","6,440","5,380","3,480","3,680","4,030","4,640","6,600","5,650","3,950","2,630","1,330","1,000",660,450,330,,,
,Pasir Ris Park,"1,730",110,110,140,130,100,80,120,190,180,210,140,90,50,40,30,10,10,10,,,
,Pasir Ris Wafer Fab Park,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Pasir Ris West,"36,540","1,780","2,320","3,250","3,890","2,480","1,790","2,250","2,850","3,550","4,250","2,900","1,910","1,210",680,590,400,250,190,,,
