"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2000",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,273,360","225,710","256,570","235,350","211,290","212,240","267,160","290,290","322,620","312,420","262,200","206,660","125,060","110,500","88,310","66,950","39,640","22,880","17,520",,,
Ang Mo Kio,Total,"180,630","9,300","11,730","11,160","12,140","14,330","15,990","13,840","15,480","16,060","15,910","13,950","8,900","7,500","5,660","4,030","2,290","1,300","1,080",,,
,Cheng San,"32,030","1,510","1,980","1,850","2,260","2,700","2,860","2,600","2,680","2,800","2,970","2,560","1,570","1,300",950,700,350,220,160,,,
,Chong Boon,"32,940","1,600","1,980","1,840","2,190","2,880","3,110","2,610","2,670","2,760","2,850","2,660","1,810","1,450","1,050",700,390,240,170,,,
,Kebun Bahru,"26,810","1,380","1,740","1,530","1,780","2,130","2,440","2,130","2,260","2,310","2,320","1,990","1,380","1,170",910,620,350,200,170,,,
,Seletar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sembawang Hills,"6,070",310,450,490,400,370,400,370,520,580,520,480,300,260,210,180,110,60,60,,,
,Shangri-La,"21,800","1,170","1,360","1,190","1,260","1,610","2,080","1,720","1,920","1,830","1,740","1,590","1,170","1,040",850,570,360,200,150,,,
,Sindo,"7,210",420,690,750,480,480,430,460,650,800,720,530,260,220,130,100,60,20,30,,,
,Town Centre,"2,240",110,110,130,170,200,210,170,170,170,190,200,120,100,70,60,20,20,10,,,
,Townsville,"21,620",990,"1,220","1,200","1,330","1,680","2,130","1,580","1,740","1,860","1,740","1,780","1,200","1,050",830,600,350,180,180,,,
,Yio Chu Kang,"29,910","1,820","2,220","2,170","2,260","2,280","2,340","2,200","2,870","2,950","2,860","2,170","1,100",900,670,510,300,170,140,,,
Bedok,Total,"284,970","16,250","20,970","21,100","19,740","20,280","22,150","20,850","25,260","26,990","24,840","21,000","12,180","10,560","8,480","6,610","3,870","2,190","1,670",,,
,Bayshore,"4,040",280,340,240,200,200,300,480,580,440,340,260,130,100,60,50,30,10,10,,,
,Bedok North,"87,480","4,990","6,280","5,800","6,050","6,840","7,430","6,600","7,610","7,730","7,350","6,560","3,930","3,460","2,700","2,020","1,090",620,440,,,
,Bedok Reservoir,"20,040","1,070","1,410","1,790","1,640","1,470","1,590","1,340","1,720","1,980","1,980","1,480",750,590,450,350,210,130,80,,,
,Bedok South,"54,450","2,870","3,610","3,670","3,450","3,910","4,340","4,020","4,670","4,900","4,690","4,230","2,610","2,310","1,920","1,480",880,480,390,,,
,Frankel,"30,840","1,670","2,340","2,340","1,830","1,860","1,940","2,040","2,790","3,060","2,850","2,390","1,330","1,250","1,030",890,590,360,290,,,
,Kaki Bukit,"43,480","3,030","3,650","3,880","3,440","2,970","3,140","3,270","4,180","4,560","3,780","2,760","1,350","1,120",900,680,400,220,150,,,
,Kembangan,"37,270","2,030","2,850","2,840","2,710","2,510","2,830","2,590","3,140","3,640","3,270","2,620","1,620","1,350","1,150",990,580,320,240,,,
,Siglap,"7,370",300,500,540,420,520,570,500,570,680,580,700,460,380,280,150,100,60,60,,,
Bishan,Total,"89,970","5,310","8,210","6,830","5,600","5,370","6,710","6,860","8,950","9,650","7,940","6,030","3,490","2,930","2,240","1,600","1,040",660,580,,,
,Bishan East,"30,860","1,590","2,690","2,600","2,050","1,930","2,520","2,320","2,840","3,410","2,820","2,130","1,160","1,020",690,430,290,210,150,,,
,Marymount,"28,320","2,090","3,040","2,060","1,650","1,550","1,990","2,470","3,280","3,080","2,360","1,630",910,730,530,430,260,160,120,,,
,Upper Thomson,"30,790","1,630","2,480","2,160","1,900","1,900","2,200","2,070","2,830","3,160","2,760","2,260","1,430","1,180","1,030",730,480,290,300,,,
Boon Lay/Pioneer,Total,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Benoi Sector,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Gul Basin,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Gul Circle,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Joo Koon,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Pioneer Sector,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Shipyard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bukit Batok,Total,"126,640","9,200","10,390","10,870","9,310","7,880","9,910","11,790","13,500","13,420","10,610","6,970","3,690","2,900","2,420","1,730","1,000",590,460,,,
,Brickworks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bukit Batok Central,"24,350","1,600","1,950","2,080","1,830","1,510","1,980","2,350","2,390","2,560","2,080","1,380",760,600,480,350,230,140,100,,,
,Bukit Batok East,"15,680","1,030","1,220","1,350","1,290",990,"1,320","1,350","1,580","1,690","1,390",910,460,380,300,200,120,70,50,,,
,Bukit Batok South,"13,660","1,530","1,100","1,210",930,630,900,"1,530","1,750","1,540",980,560,260,220,200,140,100,50,30,,,
,Bukit Batok West,"16,180","1,160","1,250","1,290","1,250","1,140","1,290","1,480","1,570","1,700","1,440",930,480,360,330,230,130,70,80,,,
,Gombak,"1,000",40,60,90,70,100,90,70,70,80,100,80,40,30,30,20,10,10,10,,,
,Guilin,"11,160",790,920,910,760,680,920,"1,100","1,280","1,110",890,600,360,280,220,160,80,60,40,,,
,Hillview,"15,680","1,130","1,170","1,180","1,040","1,030","1,050","1,350","1,760","1,630","1,430",990,560,470,360,260,140,70,70,,,
,Hong Kah,"28,930","1,910","2,710","2,770","2,140","1,810","2,370","2,570","3,100","3,120","2,300","1,520",760,560,510,360,200,140,90,,,
Bukit Merah,Total,"148,450","6,700","7,960","7,380","7,840","10,240","13,150","11,650","12,140","12,550","12,090","11,660","8,170","8,160","6,730","5,340","3,360","1,900","1,430",,,
,Alexandra Hill,"15,110",770,840,840,870,"1,020","1,290","1,250","1,320","1,290","1,190","1,210",740,760,660,480,300,180,110,,,
,Alexandra North,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bukit Ho Swee,"19,760",840,"1,010",910,950,"1,250","1,670","1,570","1,640","1,780","1,540","1,390","1,110","1,130",990,870,570,310,220,,,
,Bukit Merah,"1,430",60,90,90,100,120,130,110,120,110,120,130,70,70,30,30,20,20,10,,,
,Depot Road,"5,360",210,350,330,320,400,500,340,430,470,500,510,300,230,180,130,70,50,30,,,
,Everton Park,"6,420",280,320,300,350,480,610,500,490,490,610,570,350,350,260,220,130,80,50,,,
,Henderson Hill,"16,990",870,860,790,840,"1,060","1,560","1,410","1,420","1,420","1,270","1,240",950,"1,000",890,670,400,210,160,,,
,Kampong Tiong Bahru,"13,040",590,660,610,770,930,"1,200","1,040","1,030","1,060","1,070","1,020",740,760,550,420,280,190,140,,,
,Maritime Square,650,20,60,40,30,30,40,60,50,70,50,70,30,20,20,10,10,10,10,,,
,Redhill,"11,640",550,610,520,520,610,970,"1,010","1,010","1,010",840,750,570,750,660,560,350,190,170,,,
,Singapore General Hospital,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tanjong Pagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Telok Blangah Drive,"17,040",780,960,930,930,"1,330","1,530","1,350","1,430","1,390","1,400","1,420",930,890,710,520,290,150,100,,,
,Telok Blangah Rise,"16,490",740,980,960,"1,010","1,350","1,550","1,180","1,210","1,360","1,520","1,410",960,750,590,430,250,120,120,,,
,Telok Blangah Way,"10,160",430,550,450,500,700,920,720,780,880,810,800,580,610,520,440,250,140,90,,,
,Tiong Bahru,"8,000",260,330,300,340,530,650,620,600,610,670,670,500,490,440,360,280,200,150,,,
,Tiong Bahru Station,"6,190",260,360,320,310,400,500,470,580,580,490,490,340,350,250,210,150,80,60,,,
Bukit Panjang,Total,"96,560","7,670","8,660","8,450","6,370","5,930","8,110","8,800","10,760","9,850","7,330","4,760","2,800","2,290","1,840","1,360",780,460,340,,,
,Bangkit,"25,960","1,700","2,500","2,250","1,680","1,730","2,170","2,230","2,850","2,520","1,920","1,310",880,760,600,410,240,140,100,,,
,Bukit Panjang,"27,630","2,180","2,490","2,440","1,780","1,650","2,240","2,520","3,090","2,870","2,170","1,420",800,670,500,370,220,120,110,,,
,Dairy Farm,"3,080",200,320,310,190,170,180,200,340,360,280,220,100,70,60,40,30,10,10,,,
,Fajar,"16,790","1,320","1,730","1,450","1,130","1,110","1,310","1,460","1,900","1,630","1,240",780,520,400,330,250,120,80,60,,,
,Nature Reserve,"2,130",150,200,170,120,110,130,190,270,260,190,110,70,50,50,40,20,10,10,,,
,Saujana,"17,840","1,780","1,250","1,600","1,300","1,010","1,610","1,790","2,000","1,950","1,340",790,350,300,270,220,130,90,50,,,
,Senja,"3,130",360,180,230,170,170,480,410,320,260,180,150,80,50,40,30,20,10,10,,,
Bukit Timah,Total,"64,320","3,250","4,940","5,030","4,120","4,260","4,570","4,280","5,530","6,210","5,890","5,210","3,180","2,600","1,960","1,470",880,560,370,,,
,Anak Bukit,"20,960","1,190","1,810","1,790","1,390","1,410","1,480","1,420","1,950","2,170","1,890","1,450",870,710,540,380,230,150,120,,,
,Coronation,"5,180",230,350,380,340,350,390,320,420,450,450,440,310,270,190,150,70,50,30,,,
,Farrer Court,"6,230",260,410,390,370,420,500,420,520,570,560,530,330,330,250,170,110,70,40,,,
,Hillcrest,"6,900",360,520,500,390,390,480,530,640,660,570,520,380,310,250,200,100,70,40,,,
,Holland Road,"5,690",300,410,450,350,350,390,390,470,560,530,450,300,250,170,140,100,50,40,,,
,Leedon Park,"5,460",240,370,410,370,430,380,380,380,490,520,550,300,200,140,140,80,50,30,,,
,Swiss Club,"4,140",190,320,300,260,280,290,260,350,370,360,340,210,170,170,130,80,50,30,,,
,Ulu Pandan,"9,750",480,740,820,650,650,670,570,800,940,"1,010",940,500,370,250,160,100,80,50,,,
Central Water Catchment,Total,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Central Water Catchment,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Changi,Total,"1,090",100,100,80,70,60,100,110,100,100,70,60,30,40,30,30,10,10,10,,,
,Changi Airport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Changi Point,410,20,20,20,30,30,40,30,30,40,30,40,20,20,20,20,10,10,-,,,
,Changi West,680,80,80,60,40,30,60,80,70,50,40,30,10,20,10,10,-,-,-,,,
Changi Bay,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Subzone 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Choa Chu Kang,Total,"136,810","14,730","13,960","10,090","8,200","7,310","10,850","16,500","16,830","12,890","8,780","5,670","3,070","2,560","2,160","1,580",840,480,320,,,
,Central,"18,150","1,590","2,250","1,410","1,060","1,050","1,250","1,740","2,420","1,750","1,240",820,460,360,290,220,110,80,50,,,
,Keat Hong,"13,800","1,420","1,790",980,780,750,"1,070","1,570","1,750","1,300",840,540,270,230,200,140,80,40,30,,,
,Kranji North,"14,540","1,930","1,740",930,720,640,970,"2,110","2,040","1,340",800,430,230,200,180,130,80,30,30,,,
,Pang Sua,"11,440","1,890","1,080",690,470,390,820,"2,130","1,590",930,520,270,150,160,140,120,60,30,20,,,
,Peng Siang,"28,290","2,860","2,860","2,110","1,820","1,580","2,460","3,240","3,340","2,680","1,890","1,330",620,450,430,300,170,100,60,,,
,Teck Whye,"26,520","2,070","2,480","2,090","1,860","1,830","2,170","2,360","2,770","2,490","1,960","1,430",920,730,580,410,190,110,80,,,
,Yew Tee,"24,070","2,980","1,770","1,870","1,490","1,060","2,110","3,350","2,910","2,410","1,530",830,420,430,350,260,160,100,50,,,
Clementi,Total,"90,980","4,440","5,490","5,250","6,080","7,730","8,320","7,080","7,430","7,420","8,360","8,040","4,620","3,880","2,720","1,880","1,120",630,500,,,
,Clementi Central,"11,820",540,670,580,740,"1,080","1,210",970,900,920,"1,050","1,010",640,540,420,280,140,70,60,,,
,Clementi North,"27,600","1,280","1,470","1,340","1,700","2,370","2,800","2,310","2,310","2,140","2,450","2,500","1,470","1,310",900,590,330,190,150,,,
,Clementi West,"17,080","1,020","1,160","1,010","1,270","1,450","1,440","1,390","1,410","1,490","1,600","1,370",760,620,430,290,190,110,80,,,
,Clementi Woods,"21,250",990,"1,260","1,190","1,340","1,790","1,890","1,600","1,770","1,710","1,850","1,960","1,110",930,690,530,310,180,150,,,
,Faber,"3,110",170,210,250,210,240,230,220,260,270,320,260,180,110,80,40,40,10,20,,,
,Pandan,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sunset Way,"6,400",300,440,530,470,480,470,420,530,550,660,570,320,250,140,110,70,40,30,,,
,Toh Tuck,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,West Coast,"3,720",150,270,340,350,320,290,180,260,350,420,360,140,100,60,50,30,20,20,,,
Downtown Core,Total,"4,620",180,230,210,220,270,430,390,360,370,340,380,270,290,230,200,120,70,70,,,
,Anson,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bayfront Subzone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bugis,"4,050",150,180,160,190,250,380,340,290,330,290,350,250,260,200,190,120,70,70,,,
,Cecil,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Central Subzone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,City Hall,130,10,10,-,-,-,10,20,20,-,10,-,-,10,10,-,-,-,-,,,
,Clifford Pier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina Centre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Maxwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Phillip,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Raffles Place,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tanjong Pagar,250,10,20,10,20,20,20,20,30,30,20,20,10,10,10,10,-,-,-,,,
Geylang,Total,"118,910","6,320","8,150","7,700","7,360","7,960","9,690","9,110","10,560","11,090","9,590","8,080","5,510","5,420","4,570","3,670","2,090","1,140",900,,,
,Aljunied,"44,660","2,210","2,850","2,610","2,620","3,010","3,820","3,510","4,000","4,180","3,650","3,110","2,170","2,100","1,720","1,440",800,480,380,,,
,Geylang East,"31,010","1,570","2,150","2,000","2,120","2,310","2,430","2,160","2,500","2,830","2,590","2,420","1,420","1,390","1,150",930,570,280,210,,,
,Kallang Way,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Kampong Ubi,"13,650",840,"1,320","1,400","1,070",900,"1,010",910,"1,380","1,500","1,170",790,430,300,220,190,110,70,50,,,
,Macpherson,"29,550","1,700","1,830","1,690","1,540","1,740","2,440","2,530","2,670","2,580","2,190","1,750","1,490","1,640","1,470","1,110",610,320,260,,,
Hougang,Total,"204,070","14,010","17,180","16,400","14,100","13,060","15,620","16,830","20,680","20,920","16,640","12,190","7,220","6,170","4,930","3,660","2,150","1,260","1,050",,,
,Defu Industrial Park,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Hougang Central,"49,860","3,340","4,570","3,780","3,270","3,210","3,760","4,030","5,190","5,060","4,010","2,910","1,780","1,610","1,230",980,560,320,260,,,
,Lorong Ah Soo,"36,720","1,950","2,480","2,590","2,600","2,680","3,200","2,720","3,100","3,500","3,160","2,710","1,680","1,440","1,140",790,470,300,230,,,
,Rosyth,"20,940","1,170","1,820","1,890","1,530","1,330","1,380","1,240","1,770","2,440","1,970","1,430",800,690,520,430,260,150,130,,,
,Sungei Serangoon,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tai Keng,"12,720",860,910,"1,010",880,830,940,"1,040","1,200","1,210","1,080",790,490,460,380,270,160,100,140,,,
,Trafalgar,"83,750","6,690","7,390","7,140","5,810","5,010","6,340","7,800","9,410","8,710","6,420","4,350","2,470","1,980","1,660","1,190",710,390,290,,,
Jurong East,Total,"89,090","5,420","6,330","6,710","6,820","7,070","7,950","7,340","7,790","8,320","7,950","6,230","3,370","2,680","2,010","1,420",830,480,360,,,
,Boon Lay,"19,300","1,090","1,460","1,550","1,440","1,470","1,620","1,490","1,700","1,890","1,830","1,330",700,560,420,310,210,130,110,,,
,International Business Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong Lake,"1,200",40,60,80,90,120,120,90,80,90,120,110,70,60,40,20,10,-,-,,,
,Jurong Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong Regional Centre,"2,700",140,170,190,190,220,270,220,240,250,210,190,120,110,80,60,20,10,10,,,
,Jurong River,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Penjuru Crescent,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
