"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2005",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,Hillview,"17,210","1,060","1,600","1,620","1,250",940,930,"1,280","1,760","2,040","1,650","1,220",770,380,280,190,140,60,60,,,
,Hong Kah,"28,430","1,810","1,930","2,270","2,390","2,040","1,950","2,420","2,520","2,750","2,800","2,020","1,390",690,520,420,260,150,120,,,
Bukit Merah,Total,"142,700","6,040","6,320","7,020","7,110","7,960","11,010","11,870","10,900","11,210","11,960","11,410","11,050","7,620","7,340","5,780","4,010","2,330","1,780",,,
,Alexandra Hill,"15,100",630,740,810,840,920,"1,070","1,170","1,140","1,250","1,260","1,240","1,200",740,730,600,380,230,160,,,
,Alexandra North,530,40,50,40,20,10,50,60,80,70,40,20,20,10,10,10,-,-,-,,,
,Bukit Ho Swee,"17,160",600,660,760,800,940,"1,250","1,270","1,280","1,380","1,580","1,410","1,250","1,000",990,810,580,360,240,,,
,Bukit Merah,"1,250",60,70,80,80,80,100,100,100,100,90,90,110,60,50,30,30,10,10,,,
,Depot Road,"4,710",200,200,250,310,290,380,390,310,370,380,420,430,260,180,140,110,60,40,,,
,Everton Park,"9,290",430,360,380,440,510,800,910,750,650,720,790,740,480,470,320,260,150,120,,,
,Henderson Hill,"15,340",620,690,730,710,810,"1,090","1,180","1,210","1,190","1,300","1,160","1,160",880,890,760,490,250,200,,,
,Kampong Tiong Bahru,"10,990",430,500,520,540,690,850,840,830,830,940,920,910,610,600,420,280,150,140,,,
,Maritime Square,"1,180",70,60,80,60,60,90,100,140,110,120,90,80,30,30,10,20,10,20,,,
,Redhill,"7,280",310,370,420,340,360,420,530,590,640,640,510,480,320,390,360,270,170,180,,,
,Singapore General Hospital,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tanjong Pagar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Telok Blangah Drive,"16,070",750,740,830,890,910,"1,280","1,420","1,280","1,260","1,290","1,240","1,280",850,760,580,390,210,140,,,
,Telok Blangah Rise,"15,030",650,730,850,830,930,"1,240","1,240","1,080","1,060","1,220","1,370","1,260",840,620,490,320,190,110,,,
,Telok Blangah Way,"10,350",450,420,490,450,550,830,890,720,820,920,830,780,570,570,460,330,160,140,,,
,Tiong Bahru,"7,040",230,240,240,290,340,630,570,510,530,550,600,570,410,390,320,260,170,170,,,
,Tiong Bahru Station,"11,350",580,500,560,510,560,920,"1,180",880,930,920,720,780,570,650,480,300,210,130,,,
Bukit Panjang,Total,"119,720","8,500","9,190","10,040","9,260","7,680","8,390","11,220","10,390","11,570","10,770","8,040","5,290","3,000","2,350","1,760","1,190",610,480,,,
,Bangkit,"24,660","1,370","1,670","2,030","2,080","1,700","1,640","1,860","2,010","2,480","2,290","1,760","1,210",810,660,490,320,170,130,,,
,Bukit Panjang,"32,910","2,080","2,570","2,870","2,530","2,140","2,160","2,810","2,940","3,310","3,070","2,300","1,510",850,680,470,320,160,140,,,
,Dairy Farm,"3,470",160,240,340,330,230,190,160,250,350,370,320,240,90,70,50,40,20,20,,,
,Fajar,"21,060","1,630","1,590","1,820","1,620","1,310","1,580","2,160","1,760","1,990","1,760","1,350",890,550,390,290,210,90,80,,,
,Nature Reserve,"2,750",180,230,270,190,180,150,200,260,310,280,200,120,60,40,40,20,10,10,,,
,Saujana,"20,640","1,470","1,810","1,800","1,660","1,430","1,350","1,830","1,800","2,020","1,990","1,380",830,370,300,260,180,110,70,,,
,Senja,"14,230","1,600","1,080",910,840,710,"1,330","2,190","1,370","1,120","1,020",730,490,270,220,160,100,50,30,,,
Bukit Timah,Total,"67,490","3,110","4,470","5,380","4,910","4,060","4,150","4,490","5,240","6,100","6,220","5,480","4,670","2,810","2,350","1,670","1,140",660,590,,,
,Anak Bukit,"21,870",910,"1,460","1,960","1,750","1,510","1,430","1,380","1,560","1,980","2,100","1,800","1,360",810,660,480,330,190,190,,,
,Coronation Road,"5,160",240,350,400,350,300,300,360,370,450,430,410,370,260,220,150,100,60,50,,,
,Farrer Court,"6,050",260,350,410,370,340,380,400,480,530,530,480,460,290,290,210,120,80,60,,,
,Hillcrest,"7,400",410,520,560,480,350,360,560,660,720,690,500,490,320,280,210,150,80,70,,,
,Holland Road,"7,060",390,550,550,510,370,360,470,640,690,660,570,420,250,240,170,110,80,50,,,
,Leedon Park,"5,600",250,300,380,380,330,410,410,470,480,530,480,460,260,170,110,100,50,50,,,
,Swiss Club,"4,330",200,280,330,310,240,250,250,340,370,390,370,290,180,170,140,100,50,60,,,
,Ulu Pandan,"10,030",460,670,790,760,630,650,660,730,870,900,860,820,430,330,210,130,60,70,,,
Central Water Catchment,Total,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Central Water Catchment,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Changi,Total,"1,460",150,130,120,70,70,110,170,160,120,110,70,60,40,30,20,30,10,10,,,
,Changi Airport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Changi Point,430,20,20,10,20,30,30,30,40,40,40,30,40,20,10,10,20,10,10,,,
,Changi West,"1,030",120,110,100,50,40,80,140,120,80,70,40,20,10,10,10,10,-,10,,,
Changi Bay,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Changi Bay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Choa Chu Kang,Total,"161,190","11,500","15,280","15,360","11,070","9,480","10,310","13,910","17,060","17,340","13,630","9,420","6,130","3,300","2,630","2,130","1,420",680,550,,,
,Central,"19,130","1,120","1,700","2,040","1,390","1,140","1,240","1,450","1,920","2,220","1,640","1,160",790,440,320,260,180,80,60,,,
,Keat Hong,"15,670",960,"1,590","1,720","1,080",940,920,"1,170","1,670","1,800","1,390",910,600,280,250,180,120,60,50,,,
,Kranji North,"14,880","1,130","1,760","1,650",950,730,710,"1,130","1,890","1,810","1,230",770,420,200,180,140,110,60,30,,,
,Pang Sua,"16,500","1,490","2,060","1,690",970,650,690,"1,440","2,280","1,970","1,290",720,410,230,230,180,120,50,40,,,
,Peng Siang,"29,940","2,070","2,710","2,850","2,140","1,990","1,850","2,590","2,970","3,140","2,570","1,870","1,270",580,390,410,260,140,140,,,
,Teck Whye,"25,730","1,440","1,910","2,350","1,970","1,790","1,710","1,890","2,060","2,610","2,280","1,810","1,320",850,660,490,330,130,120,,,
,Yew Tee,"39,340","3,300","3,550","3,060","2,570","2,260","3,200","4,240","4,270","3,790","3,230","2,190","1,310",730,610,480,300,150,110,,,
Clementi,Total,"85,880","4,250","4,490","4,500","4,650","5,870","7,600","7,450","6,800","7,110","6,870","7,240","6,820","3,980","3,290","2,180","1,410",760,640,,,
,Clementi Central,"11,890",530,540,570,570,840,"1,130","1,090",920,910,960,"1,040",940,570,530,360,220,100,90,,,
,Clementi North,"24,190","1,080","1,120","1,060","1,110","1,580","2,300","2,220","1,960","1,960","1,870","2,050","2,090","1,220","1,040",690,440,220,180,,,
,Clementi West,"16,510","1,020",990,900,900,"1,160","1,450","1,470","1,390","1,390","1,400","1,340","1,170",660,510,350,210,120,100,,,
,Clementi Woods,"19,440",960,950,990,"1,030","1,270","1,610","1,660","1,460","1,710","1,510","1,560","1,630",980,800,560,370,220,180,,,
,Faber,"4,190",240,350,320,290,230,290,320,430,400,340,320,230,160,110,70,40,40,20,,,
,Pandan,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sunset Way,"6,590",340,400,460,490,440,470,470,500,550,540,610,500,280,210,130,90,50,50,,,
,Toh Tuck,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,West Coast,"3,060",70,150,210,250,350,350,220,140,190,250,320,260,120,80,40,30,20,20,,,
Downtown Core,Total,"3,270",110,120,130,140,170,260,280,300,260,270,260,270,180,180,130,100,50,70,,,
,Anson,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bayfront Subzone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bugis,"2,740",80,100,110,120,150,210,220,220,200,230,220,240,160,170,120,90,50,50,,,
,Cecil,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Central Subzone,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,City Hall,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Clifford Pier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina Centre,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Maxwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Phillip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Raffles Place,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tanjong Pagar,290,10,10,10,10,20,20,30,30,30,20,30,20,10,10,10,10,-,10,,,
Geylang,Total,"113,250","5,120","6,310","7,280","7,160","7,150","8,250","8,690","8,540","9,860","10,290","8,820","7,400","4,960","4,640","3,700","2,640","1,370","1,070",,,
,Aljunied,"43,420","1,890","2,360","2,650","2,420","2,610","3,340","3,700","3,380","3,840","3,920","3,360","2,830","1,950","1,770","1,390","1,050",510,470,,,
,Geylang East,"29,280","1,320","1,600","1,910","1,930","1,990","2,180","2,070","2,080","2,350","2,670","2,390","2,180","1,270","1,160",910,670,370,260,,,
,Kallang Way,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Kampong Ubi,"13,140",650,880,"1,150","1,270","1,010",940,920,910,"1,230","1,330","1,040",710,370,260,190,140,70,50,,,
,Macpherson,"27,380","1,270","1,470","1,570","1,540","1,540","1,790","2,000","2,160","2,430","2,370","2,030","1,690","1,370","1,460","1,200",790,410,290,,,
Hougang,Total,"206,680","10,360","13,910","16,950","15,730","13,890","13,690","15,220","16,490","19,920","20,090","15,980","11,810","6,900","5,760","4,370","2,880","1,520","1,210",,,
,Defu Industrial Park,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Hougang Central,"49,550","2,540","3,290","4,100","3,600","3,190","3,140","3,720","4,100","4,970","4,790","3,760","2,750","1,690","1,460","1,030",740,390,290,,,
,Lorong Ah Soo,"34,630","1,580","2,020","2,290","2,360","2,450","2,440","2,640","2,610","2,950","3,200","2,820","2,430","1,460","1,240",970,600,320,270,,,
,Rosyth,"20,410",770,"1,220","1,850","1,820","1,440","1,240","1,130","1,230","1,790","2,320","1,830","1,320",730,600,440,350,190,150,,,
,Sungei Serangoon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tai Keng,"12,110",540,830,950,950,840,820,810,890,"1,070","1,100","1,010",720,430,410,330,210,110,120,,,
,Trafalgar,"89,970","4,930","6,560","7,770","7,000","5,960","6,060","6,930","7,670","9,140","8,680","6,550","4,580","2,590","2,050","1,610",980,520,380,,,
Jurong East,Total,"86,010","4,520","5,280","6,030","6,300","6,550","6,930","7,040","6,860","7,280","7,660","7,120","5,520","2,950","2,260","1,650","1,050",570,440,,,
,Boon Lay,"20,010","1,060","1,280","1,470","1,520","1,460","1,530","1,570","1,610","1,730","1,800","1,700","1,230",660,510,370,240,150,120,,,
,International Business Park,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong Lake,"1,080",30,40,60,70,100,120,90,80,70,90,100,80,60,40,30,10,-,-,,,
,Jurong Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong Regional Centre,"2,490",110,120,150,180,190,210,230,190,210,210,190,180,100,90,60,40,20,10,,,
,Jurong River,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Penjuru Crescent,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Teban Gardens,"18,310",920,"1,050","1,190","1,250","1,400","1,590","1,460","1,310","1,410","1,440","1,640","1,470",790,560,380,250,110,90,,,
,Toh Guan,"14,870",910,"1,100","1,260","1,260","1,110","1,030","1,260","1,360","1,450","1,500","1,110",630,270,210,170,130,70,50,,,
,Yuhua,"29,220","1,480","1,690","1,910","2,010","2,290","2,450","2,430","2,310","2,410","2,610","2,390","1,930","1,080",840,640,390,210,160,,,
Jurong West,Total,"233,750","15,680","17,340","18,300","16,490","16,180","19,340","21,980","21,320","21,000","19,610","16,810","11,840","6,180","4,600","3,200","1,990","1,050",840,,,
,Boon Lay,"24,880","1,360","1,600","1,680","1,500","1,620","1,960","2,230","2,410","2,260","2,020","1,900","1,580","1,030",700,490,300,140,100,,,
,Central,"54,410","4,760","3,890","3,490","3,730","3,800","5,300","6,620","4,820","4,430","4,430","3,670","2,310","1,030",820,590,380,210,150,,,
,Chin Bee,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Hong Kah,"55,240","3,030","3,640","4,000","4,180","4,220","4,440","4,610","4,600","4,710","4,860","4,540","3,400","1,800","1,310",880,510,260,260,,,
,Kian Teck,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Safti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Taman Jurong,"28,400","1,760","2,230","2,280","2,020","1,890","1,940","2,290","2,720","2,630","2,490","2,050","1,440",830,660,540,340,180,120,,,
,Wenya,"5,070",520,240,220,270,400,770,700,390,300,340,310,220,120,100,60,30,40,40,,,
,Yunnan,"65,680","4,260","5,740","6,630","4,790","4,260","4,910","5,510","6,380","6,660","5,470","4,340","2,900","1,370","1,010",640,430,230,170,,,
Kallang,Total,"88,050","3,930","4,350","4,570","4,610","4,990","6,300","7,320","6,950","7,330","7,630","7,080","6,320","4,290","4,260","3,360","2,300","1,280","1,190",,,
,Bendemeer,"27,660","1,140","1,290","1,480","1,650","1,710","2,080","2,220","2,110","2,150","2,570","2,360","2,010","1,300","1,200",940,660,390,420,,,
,Boon Keng,"9,270",440,450,500,430,550,770,840,730,780,800,680,640,400,440,360,240,130,110,,,
,Crawford,"9,170",310,310,350,330,450,560,660,550,690,730,750,790,630,700,570,400,200,190,,,
,Geylang Bahru,"13,100",670,750,680,690,690,900,"1,090","1,140","1,160","1,080",980,820,640,650,520,340,180,150,,,
,Kallang Bahru,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Kampong Bugis,850,40,30,60,60,60,70,60,40,60,90,90,80,40,20,20,10,10,10,,,
,Kampong Java,"10,930",500,620,610,530,590,840,960,860,910,870,870,860,510,500,350,250,160,160,,,
,Lavender,"7,340",270,270,320,380,440,530,590,480,550,620,620,610,440,440,340,240,130,90,,,
,Tanjong Rhu,"9,720",580,630,580,540,500,560,920,"1,030","1,020",870,740,530,350,310,250,160,80,60,,,
Lim Chu Kang,Total,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Lim Chu Kang,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mandai,Total,"1,510",90,130,110,100,90,100,120,150,160,120,100,100,50,40,30,20,10,10,,,
,Subzone 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Subzone 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Subzone 3,"1,510",90,130,110,100,90,100,120,150,160,120,100,100,50,40,30,20,10,10,,,
Marina East,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marina South,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina South,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marine Parade,Total,"43,720","1,900","2,420","2,730","2,540","2,390","2,890","3,370","3,450","3,750","3,760","3,350","3,100","2,160","2,090","1,570","1,150",630,480,,,
,East Coast,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Katong,"8,060",360,520,610,500,450,470,560,640,760,730,640,510,310,300,250,210,120,110,,,
,Marina East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marine Parade,"26,770","1,130","1,380","1,460","1,400","1,370","1,830","2,200","2,130","2,210","2,190","1,960","1,940","1,500","1,510","1,120",780,410,280,,,
,Mountbatten,"8,900",410,520,650,640,570,590,610,680,780,850,760,650,350,280,200,160,100,100,,,
Museum,Total,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bras Basah,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Dhoby Ghaut,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Fort Canning,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Newton,Total,"6,760",340,410,390,380,330,440,560,630,660,650,570,500,290,210,180,110,80,60,,,
,Cairnhill,"3,450",170,200,190,190,180,220,280,320,340,300,280,250,160,130,100,60,50,30,,,
,Goodwood Park,720,50,60,50,50,30,40,80,80,70,80,50,50,20,10,10,10,10,-,,,
,Istana Negara,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Monk's Hill,"1,110",50,70,50,50,50,90,110,110,110,110,80,70,50,30,30,20,10,10,,,
,Newton Circus,140,-,10,10,10,10,10,10,20,20,10,20,10,-,-,-,-,-,-,,,
,Orange Grove,"1,300",70,80,90,80,60,70,80,100,130,150,140,120,60,30,30,10,10,10,,,
North Eastern Islands,Total,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,North Eastern Islands,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Novena,Total,"43,040","1,940","2,490","2,630","2,400","2,420","3,030","3,450","3,550","3,910","3,830","3,320","2,830","1,930","1,760","1,380","1,000",560,610,,,
,Balestier,"30,560","1,360","1,640","1,750","1,630","1,770","2,280","2,550","2,480","2,680","2,700","2,270","2,000","1,460","1,330","1,050",750,400,450,,,
,Dunearn,"3,630",170,260,280,240,190,180,210,280,360,310,310,260,150,150,120,70,60,50,,,
,Malcolm,"2,350",100,160,180,150,120,130,130,180,240,240,200,180,90,80,70,60,40,30,,,
,Moulmein,"5,910",300,400,390,330,310,410,530,590,580,520,480,350,210,170,120,100,60,60,,,
,Mount Pleasant,590,20,30,40,40,40,30,30,30,60,60,50,40,30,20,20,10,10,20,,,
Orchard,Total,610,20,20,30,30,40,40,60,40,50,60,70,60,30,20,10,10,10,10,,,
,Boulevard,260,10,-,10,10,20,20,30,10,20,30,30,30,20,10,-,10,10,10,,,
,Somerset,110,10,10,10,-,-,10,20,10,10,10,10,10,-,10,-,-,-,-,,,
,Tanglin,240,10,10,10,20,10,20,20,10,20,20,20,30,10,10,10,10,-,10,,,
Outram,Total,"15,730",450,480,530,600,830,"1,070","1,120","1,070","1,160","1,280","1,330","1,380","1,050","1,090",870,650,340,450,,,
,China Square,"1,960",50,70,80,80,120,170,160,130,170,160,190,180,120,90,80,60,30,20,,,
,Chinatown,"6,520",210,210,220,230,330,460,510,480,480,500,500,540,420,460,360,270,140,220,,,
,Pearl's Hill,"6,830",180,200,210,260,350,400,420,430,490,580,600,620,480,520,420,320,170,210,,,
,People's Park,420,10,10,20,20,30,50,40,30,30,40,40,50,20,20,10,10,-,-,,,
Pasir Ris,Total,"122,570","8,270","12,230","13,700","8,420","6,060","6,210","8,900","13,230","14,750","10,770","7,070","4,550","2,390","2,020","1,650","1,140",710,500,,,
,Elias,"32,220","2,550","3,640","3,370","1,840","1,420","1,680","2,760","4,140","3,840","2,420","1,570",950,600,510,410,260,160,90,,,
,Loyang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Loyang East,"10,770",570,880,"1,160",850,560,540,590,980,"1,290","1,090",810,500,250,200,170,130,110,100,,,
,Pasir Ris Drive,"58,230","3,730","5,600","6,760","4,280","3,060","3,010","4,160","5,800","6,910","5,270","3,400","2,280","1,140",940,780,540,330,250,,,
,Pasir Ris Park,"1,170",70,130,120,80,50,50,60,150,150,120,70,40,20,20,10,10,10,-,,,
,Pasir Ris Town,"20,170","1,340","1,980","2,300","1,370",980,930,"1,330","2,160","2,550","1,870","1,220",780,380,340,280,200,100,60,,,
,Pasir Ris West,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Paya Lebar,Total,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Airport Road,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Paya Lebar East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Paya Lebar North,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Paya Lebar West,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Plab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Pioneer,Total,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Benoi Sector,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Gul Basin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Gul Circle,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
