"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2013",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,Kembangan,"38,730","1,500","1,610","1,960","2,300","2,870","2,740","2,760","2,640","2,670","2,880","3,310","3,320","2,770","1,890","1,350",950,660,560,,,
,Siglap,"7,240",220,290,360,420,540,420,430,540,560,530,550,540,520,500,360,250,150,90,,,
Bishan,Total,"92,790","3,780","4,700","5,030","6,250","7,250","5,910","6,210","6,550","7,300","7,380","8,040","7,610","6,100","3,840","2,780","1,910","1,220",950,,,
,Bishan East,"29,770","1,200","1,430","1,430","1,740","2,440","2,190","2,110","2,150","2,290","2,170","2,520","2,570","2,170","1,250",930,610,340,250,,,
,Marymount,"31,960","1,470","1,760","1,880","2,490","2,600","1,970","2,270","2,390","2,540","2,730","2,860","2,430","1,790","1,100",690,460,300,240,,,
,Upper Thomson,"31,060","1,110","1,510","1,720","2,030","2,210","1,750","1,820","2,010","2,470","2,480","2,660","2,610","2,140","1,490","1,150",840,580,460,,,
Boon Lay,Total,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Shipyard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bukit Batok,Total,"142,310","6,110","7,490","8,790","9,820","10,540","10,570","10,490","10,840","11,480","12,100","12,600","11,480","8,110","4,660","3,090","1,940","1,290",930,,,
,Brickworks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bukit Batok Central,"26,610","1,220","1,420","1,600","1,630","1,950","2,080","2,000","2,040","2,160","2,120","2,220","2,210","1,560",910,630,400,260,210,,,
,Bukit Batok East,"15,080",550,760,790,910,1080,"1,280","1,190","1,150","1,150","1,170","1,400","1,350",960,570,350,230,140,90,,,
,Bukit Batok South,"14,290",580,720,1000,"1,270","1,200","1,100",950,960,1160,"1,280","1,360","1,170",660,360,210,140,100,60,,,
,Bukit Batok West,"15,670",670,860,930,1070,"1,050","1,140","1,230","1,200","1,230","1,270","1,370","1,300",990,530,340,240,160,120,,,
,Gombak,"9,370",600,520,440,520,550,620,1010,950,670,640,630,620,550,370,280,180,120,80,,,
,Guilin,"13,480",590,740,810,920,910,950,1020,"1,160","1,200","1,250","1,170",940,730,420,310,160,110,100,,,
,Hillview,"18,380",670,930,"1,430","1,650","1,430","1,000",890,"1,220","1,590","1,980","1,800","1,380","1,000",550,350,230,160,130,,,
,Hong Kah North,"29,430","1,240","1,520","1,790","1,870","2,370","2,410","2,200","2,150","2,320","2,400","2,640","2,520","1,660",950,620,360,250,140,,,
Bukit Merah,Total,"156,060","7,630","7,120","6,730","7,050","7,980","9,190","12,500","13,080","12,380","11,600","11,600","11,640","11,110","8,510","7,130","4,960","3,190","2,660",,,
,Alexandra Hill,"16,090",650,750,800,890,1010,"1,050",1070,1100,"1,150","1,200","1,280","1,260","1,250",870,670,490,310,290,,,
,Alexandra North,930,50,60,60,60,40,40,100,110,100,110,70,60,30,30,10,10,-,10,,,
,Bukit Ho Swee,"16,360",730,590,620,680,840,"1,080","1,340","1,150","1,070","1,220","1,300","1,400","1,250",940,840,590,410,330,,,
,Bukit Merah,"1,240",50,70,60,80,70,70,70,100,110,90,90,100,90,90,50,30,20,20,,,
,City Terminals,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Depot Road,"4,130",280,200,160,180,190,230,380,470,340,280,270,260,280,220,170,100,70,40,,,
,Everton Park,"8,800",390,400,350,330,400,530,710,800,770,610,580,690,690,520,420,270,190,160,,,
,Henderson Hill,"13,900",620,610,640,710,780,810,920,910,1070,1090,1040,"1,030",970,810,720,540,360,250,,,
,Kampong Tiong Bahru,"10,730",370,460,460,480,540,670,720,780,820,810,840,940,860,630,560,400,210,190,,,
,Maritime Square,"2,370",160,140,110,90,100,100,240,290,290,270,170,150,100,70,40,30,10,20,,,
,Redhill,"12,100",900,620,520,550,570,660,1120,"1,210",950,890,910,760,650,510,450,350,230,260,,,
,Singapore General Hospital,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Telok Blangah Drive,"16,440",710,740,730,750,840,940,"1,370","1,380","1,350","1,230","1,240","1,150","1,230",970,770,530,300,230,,,
,Telok Blangah Rise,"14,260",480,550,620,720,860,820,1050,"1,120","1,100",980,1050,"1,170","1,270",940,690,410,250,190,,,
,Telok Blangah Way,"11,000",530,500,430,450,510,580,780,910,900,830,920,880,800,610,530,380,240,200,,,
,Tiong Bahru,"10,860",610,480,390,350,440,640,"1,050","1,180",850,750,710,780,720,600,500,330,240,250,,,
,Tiong Bahru Station,"16,840",1100,970,780,740,800,960,"1,590","1,560","1,510","1,240","1,140","1,040",910,710,700,500,340,250,,,
Bukit Panjang,Total,"131,490","6,590","7,550","8,650","9,580","10,710","9,300","9,770","10,140","10,630","10,860","11,280","9,640","6,690","3,940","2,630","1,660","1,080",790,,,
,Bangkit,"24,870",950,1110,"1,440","1,790","2,240","1,870","1,570","1,650","1,750","2,120","2,420","2,030","1,420",900,690,430,310,200,,,
,Dairy Farm,"3,800",120,180,240,310,370,270,190,200,280,300,400,360,250,160,70,50,50,30,,,
,Fajar,"24,470","1,490","1,500","1,580","1,740","2,040","1,690","2,120","2,000","1,950","1,980","1,910","1,610","1,110",710,470,280,160,140,,,
,Jelebu,"34,730","1,460","1,830","2,270","2,650","2,960","2,390","2,250","2,500","2,830","3,040","3,130","2,670","1,910","1,120",740,510,280,210,,,
,Nature Reserve,"3,780",190,220,260,290,270,200,240,280,360,380,310,270,220,110,90,50,20,30,,,
,Saujana,"21,920","1,060","1,340","1,530","1,720","1,760","1,680","1,710","1,600","1,810","1,700","1,910","1,690","1,080",530,320,190,170,110,,,
,Senja,"17,920","1,320","1,380","1,340","1,090","1,070","1,210","1,690","1,920","1,660","1,340","1,200","1,010",710,410,260,160,100,80,,,
Bukit Timah,Total,"73,130","3,180","4,700","4,640","5,040","5,130","3,850","3,800","5,230","6,640","6,230","5,850","5,220","4,440","3,230","2,340","1,620","1,120",860,,,
,Anak Bukit,"22,320",830,"1,250","1,370","1,690","1,880","1,410","1,160","1,460","1,740","1,810","1,850","1,810","1,410",940,720,440,320,230,,,
,Coronation Road,"6,110",300,450,390,390,420,280,300,470,580,520,450,340,350,290,220,160,90,100,,,
,Farrer Court,"3,700",160,190,210,190,210,190,230,250,300,300,300,260,250,200,160,130,100,70,,,
,Hillcrest,"8,890",420,690,620,570,530,380,410,690,910,820,740,530,460,370,300,210,170,100,,,
,Holland Road,"9,900",500,770,720,710,590,430,500,790,"1,080",870,770,640,500,360,280,180,120,100,,,
,Leedon Park,"6,120",280,340,340,360,370,310,380,480,590,540,470,450,400,340,180,110,90,70,,,
,Swiss Club,"5,380",220,360,360,380,360,290,280,350,510,480,430,380,320,220,140,140,100,80,,,
,Ulu Pandan,"10,720",470,660,640,770,760,560,540,750,930,900,840,800,750,530,350,250,120,110,,,
Central Water Catchment,Total,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Central Water Catchment,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Changi,Total,"2,540",190,240,200,150,150,100,210,290,250,240,140,110,80,60,60,30,20,40,,,
,Changi Airport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Changi Point,800,20,30,40,40,50,40,40,60,70,90,70,80,50,30,30,20,10,30,,,
,Changi West,"1,740",170,200,160,110,100,60,180,230,180,160,70,30,30,30,30,10,10,-,,,
Changi Bay,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Changi Bay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Choa Chu Kang,Total,"174,870","7,800","10,140","12,810","16,050","13,870","11,580","12,310","12,640","14,910","17,190","15,090","11,450","7,650","4,250","2,960","1,990","1,310",880,,,
,Choa Chu Kang Central,"21,080",850,"1,140","1,510","1,950","1,800","1,390","1,340","1,510","1,760","2,230","1,890","1,330",950,540,410,230,130,120,,,
,Choa Chu Kang North,"33,950","1,240","1,980","3,130","3,990","2,720","1,920","1,790","1,970","3,110","4,090","3,060","2,050","1,170",600,470,310,240,130,,,
,Keat Hong,"16,180",620,840,"1,180","1,660","1,450","1,000",1090,"1,080","1,280","1,650","1,490","1,100",710,380,240,180,140,90,,,
,Peng Siang,"31,770","1,390","1,800","2,140","2,820","2,490","2,320","2,410","2,300","2,540","2,910","2,750","2,190","1,560",830,490,380,260,200,,,
,Teck Whye,"27,000","1,090","1,240","1,600","2,150","2,460","2,010","1,840","1,610","1,930","2,390","2,450","2,060","1,590",960,700,470,290,170,,,
,Yew Tee,"44,900","2,620","3,130","3,260","3,480","2,950","2,960","3,830","4,170","4,280","3,920","3,450","2,720","1,680",940,650,420,260,170,,,
Clementi,Total,"91,490","4,020","4,400","4,620","4,730","5,080","5,660","7,180","7,560","7,520","7,250","6,840","6,760","6,900","4,950","3,480","2,160","1,340","1,040",,,
,Clementi Central,"13,830",640,700,670,720,690,780,"1,180","1,230","1,160","1,060",1030,990,1010,720,530,340,220,170,,,
,Clementi North,"28,460","1,070","1,130","1,250","1,280","1,400","1,740","2,250","2,450","2,220","2,170","2,020","2,130","2,410","1,830","1,310",830,540,430,,,
,Clementi West,"16,860",750,790,910,870,970,"1,080","1,390","1,360","1,430","1,360","1,290","1,380","1,240",820,570,320,200,130,,,
,Clementi Woods,"16,210",760,800,810,820,970,"1,140","1,330","1,280","1,280","1,280","1,260","1,150","1,140",840,580,400,210,160,,,
,Faber,"4,410",210,280,310,310,300,240,240,310,430,390,380,280,270,170,140,70,40,40,,,
,Pandan,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sunset Way,"6,470",250,300,350,410,430,410,430,420,500,560,490,520,520,360,230,140,100,60,,,
,Toh Tuck,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,West Coast,"5,210",340,400,320,310,310,270,370,510,520,420,370,310,310,220,120,70,30,40,,,
Downtown Core,Total,"3,730",110,100,110,130,150,220,340,360,380,320,270,270,270,220,170,110,80,130,,,
,Anson,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bayfront Subzone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bugis,"2,500",70,60,70,100,130,160,170,190,190,190,180,190,230,190,150,90,70,70,,,
,Cecil,190,10,10,10,10,-,10,30,30,20,20,10,10,-,-,-,-,-,-,,,
,Central Subzone,360,10,20,10,10,10,20,50,50,70,40,30,20,10,-,-,-,-,-,,,
,City Hall,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Clifford Pier,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina Centre,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Maxwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Phillip,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Raffles Place,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tanjong Pagar,490,10,10,20,10,10,30,60,70,60,50,40,30,20,10,10,10,10,50,,,
Geylang,Total,"119,530","4,970","5,590","5,910","6,960","7,970","7,970","8,820","9,120","9,140","9,420","9,990","9,550","7,710","5,460","4,220","3,010","2,110","1,620",,,
,Aljunied,"42,390","1,750","2,000","2,020","2,320","2,590","2,750","3,050","3,420","3,510","3,360","3,560","3,320","2,800","1,930","1,500","1,080",790,650,,,
,Geylang East,"33,840","1,650","1,570","1,620","1,900","2,150","2,260","2,800","2,760","2,540","2,470","2,550","2,680","2,220","1,700","1,150",810,570,440,,,
,Kallang Way,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Kampong Ubi,"13,780",540,690,770,950,"1,260","1,200","1,070",990,880,1050,"1,270","1,190",820,480,290,160,100,70,,,
,Macpherson,"29,470",1040,"1,330","1,500","1,790","1,970","1,760","1,900","1,940","2,200","2,530","2,610","2,370","1,870","1,340","1,280",950,660,460,,,
Hougang,Total,"217,900","8,270","10,100","12,670","15,620","17,060","15,070","14,590","15,050","16,400","18,230","19,930","18,080","13,500","8,590","6,070","4,000","2,650","2,030",,,
,Defu Industrial Park,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Hougang Central,"5,020",200,220,310,410,410,350,320,310,350,470,470,390,280,170,130,100,70,60,,,
,Hougang East,"19,090",630,720,970,"1,540","1,860","1,460","1,400","1,170","1,180","1,550","1,970","1,650","1,170",740,460,270,190,150,,,
,Hougang West,"52,220","1,840","2,100","2,710","3,740","4,570","4,120","3,580","3,330","3,620","4,370","5,200","4,600","3,360","2,040","1,350",840,520,350,,,
,Kangkar,"25,140",930,"1,210","1,560","1,650","1,790","1,630","1,590","1,880","2,030","2,180","2,190","2,100","1,510","1,020",800,520,320,240,,,
,Kovan,"24,960",990,"1,150","1,500","1,780","2,130","1,750","1,510","1,700","1,920","1,870","2,140","2,130","1,580",990,730,460,320,320,,,
,Lorong Ah Soo,"33,720","1,140","1,440","1,830","2,090","2,280","2,240","2,360","2,300","2,520","2,670","2,870","2,900","2,390","1,690","1,230",830,560,400,,,
,Lorong Halus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tai Seng,"13,550",530,700,810,970,"1,000",880,880,900,"1,050","1,100","1,150","1,050",870,530,430,320,230,160,,,
,Trafalgar,"44,180","2,020","2,550","2,980","3,440","3,030","2,650","2,950","3,460","3,740","4,010","3,940","3,260","2,360","1,410",950,650,440,360,,,
Jurong East,Total,"86,950","3,590","4,250","4,840","5,320","6,200","6,580","6,900","6,560","6,720","6,690","7,000","7,120","6,040","3,730","2,380","1,480",900,670,,,
,International Business Park,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong Gateway,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong River,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Lakeside,"1,070",40,40,30,40,70,100,80,100,90,80,80,90,80,50,60,30,10,10,,,
,Penjuru Crescent,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Teban Gardens,"19,520",940,950,1060,"1,080","1,330","1,360","1,690","1,510","1,420","1,460","1,400","1,460","1,550","1,050",590,350,180,150,,,
,Toh Guan,"17,120",750,900,"1,070","1,210","1,370","1,320","1,330","1,250","1,430","1,370","1,530","1,420",970,480,300,200,130,100,,,
,Yuhua East,"28,470",1020,"1,330","1,520","1,680","1,920","2,200","2,290","2,160","2,170","2,210","2,250","2,430","1,990","1,330",860,530,350,230,,,
,Yuhua West,"20,740",840,1020,"1,160","1,300","1,510","1,610","1,510","1,540","1,600","1,570","1,740","1,720","1,450",810,570,380,220,180,,,
Jurong West,Total,"271,320","14,390","16,430","17,410","18,900","19,380","19,550","24,240","23,680","22,680","22,220","20,210","18,520","14,330","8,290","5,060","3,030","1,760","1,270",,,
,Boon Lay Place,"27,510","1,440","1,610","1,670","1,900","1,890","1,880","2,060","2,080","2,340","2,400","2,170","1,910","1,600","1,010",730,400,260,160,,,
,Chin Bee,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Hong Kah,"58,170","2,370","3,000","3,510","3,710","4,230","4,360","4,700","4,580","4,670","4,630","4,490","4,640","3,830","2,340","1,460",830,500,330,,,
,Jurong West Central,"69,420","4,940","5,050","4,310","3,820","4,210","5,240","7,750","7,610","6,230","4,870","4,450","4,280","3,050","1,620",860,580,300,250,,,
,Kian Teck,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Safti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Taman Jurong,"35,000","1,740","2,060","2,390","2,670","2,450","2,410","2,830","2,660","3,000","3,060","2,720","2,380","1,860","1,100",720,450,310,200,,,
,Wenya,"8,670",780,750,500,340,390,670,"1,210","1,110",720,520,440,440,330,190,120,60,40,60,,,
,Yunnan,"72,500","3,120","3,960","5,030","6,460","6,190","4,990","5,690","5,650","5,730","6,730","5,920","4,870","3,650","2,030","1,170",700,350,260,,,
Kallang,Total,"102,840","4,530","4,570","4,690","5,000","5,440","6,200","8,060","8,570","8,650","7,980","8,120","7,750","7,090","5,180","4,380","3,010","2,050","1,580",,,
,Bendemeer,"33,940","1,630","1,480","1,450","1,630","1,820","2,310","3,060","2,860","2,730","2,400","2,550","2,610","2,350","1,610","1,380",930,630,530,,,
,Boon Keng,"11,320",500,430,550,540,650,720,920,860,920,900,910,900,770,530,470,330,250,180,,,
,Crawford,"9,950",330,340,360,380,480,520,530,630,650,740,940,820,870,710,660,480,310,230,,,
,Geylang Bahru,"13,410",500,580,670,710,700,760,920,1070,"1,170","1,100","1,120","1,010",860,690,610,440,300,200,,,
,Kallang Bahru,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Kampong Bugis,890,30,30,30,50,70,70,80,70,40,50,80,100,80,40,30,20,10,10,,,
,Kampong Java,"11,460",510,550,550,580,590,600,870,1050,"1,000",890,860,780,830,630,460,330,210,170,,,
,Lavender,"10,550",450,510,460,490,580,660,810,880,880,850,850,760,740,530,460,300,190,140,,,
,Tanjong Rhu,"11,300",600,660,620,620,560,570,860,"1,150","1,260","1,050",820,780,580,420,320,190,140,120,,,
Lim Chu Kang,Total,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Lim Chu Kang,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mandai,Total,"2,120",100,140,170,170,160,130,150,160,210,180,180,130,80,80,50,30,20,10,,,
,Mandai East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Mandai Estate,"2,120",100,140,170,170,160,130,150,160,210,180,180,130,80,80,50,30,20,10,,,
,Mandai West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marina East,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marina South,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina South,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marine Parade,Total,"48,870","2,300","2,710","2,790","2,650","2,760","2,510","3,220","4,010","4,520","3,940","3,600","3,310","2,980","2,380","1,930","1,510",980,780,,,
,East Coast,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Katong,"9,700",460,560,560,550,600,490,670,860,920,810,720,670,550,400,290,240,170,180,,,
,Marina East (Mp),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marine Parade,"29,140","1,380","1,610","1,610","1,510","1,490","1,450","1,880","2,340","2,640","2,320","2,070","1,970","1,800","1,520","1,380","1,070",640,480,,,
,Mountbatten,"10,030",460,550,620,590,670,560,670,820,960,810,810,680,620,460,260,210,160,130,,,
Museum,Total,350,20,20,10,10,10,10,40,50,40,40,30,20,10,20,-,-,10,10,,,
,Bras Basah,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Dhoby Ghaut,190,10,10,10,10,10,10,30,30,20,20,10,10,10,10,-,-,-,-,,,
,Fort Canning,160,10,10,10,10,-,10,10,20,20,20,10,10,-,10,-,-,-,-,,,
Newton,Total,"6,560",280,450,320,350,360,300,400,550,710,640,530,440,440,290,180,130,110,90,,,
,Cairnhill,"3,060",140,200,140,170,150,160,210,270,310,290,240,190,210,140,90,70,60,40,,,
,Goodwood Park,800,40,90,30,40,40,40,40,80,100,80,50,50,40,20,10,10,20,20,,,
,Istana Negara,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Monk's Hill,1060,40,80,70,60,60,50,60,80,130,100,90,60,50,40,40,30,20,20,,,
,Newton Circus,190,10,20,10,10,10,10,10,20,30,30,10,10,10,10,-,-,-,-,,,
,Orange Grove,"1,420",50,60,70,70,100,50,70,110,140,140,140,120,120,80,40,30,20,10,,,
North-Eastern Islands,Total,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,North-Eastern Islands,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Novena,Total,"47,720","2,330","2,720","2,480","2,620","2,690","2,600","3,320","4,100","4,320","3,940","3,740","3,230","2,770","2,130","1,730","1,230",920,860,,,
,Balestier,"32,550","1,510","1,550","1,550","1,690","1,830","1,880","2,470","2,770","2,810","2,600","2,530","2,300","1,960","1,580","1,310",920,680,630,,,
,Dunearn,"3,780",160,240,250,280,260,170,160,210,320,340,320,280,230,170,140,100,80,70,,,
,Malcolm,"2,690",140,210,160,160,180,130,120,200,230,220,250,180,170,120,80,60,50,50,,,
,Moulmein,"8,050",500,700,490,440,370,380,530,890,920,730,590,430,360,230,180,150,90,90,,,
,Mount Pleasant,650,20,30,40,50,60,40,40,30,40,50,60,60,50,30,20,10,10,10,,,
Orchard,Total,910,50,40,40,40,40,50,50,100,90,80,90,70,70,50,20,20,10,20,,,
,Boulevard,420,20,20,20,10,20,20,30,40,40,30,40,40,40,20,10,10,10,10,,,
,Somerset,130,10,10,-,10,-,10,10,20,10,10,10,10,10,10,-,-,-,10,,,
,Tanglin,360,20,20,20,20,20,20,20,40,30,40,40,30,20,10,10,10,-,-,,,
Outram,Total,"22,340","1,390",930,690,720,950,"1,200","2,160","2,090","1,630","1,510","1,590","1,650","1,620","1,260","1,110",790,530,540,,,
,China Square,"1,670",40,30,40,60,80,110,120,120,120,130,140,160,170,130,100,60,40,30,,,
,Chinatown,"11,820",1010,580,370,360,430,580,"1,460","1,440",920,760,710,690,690,530,450,350,220,260,,,
,Pearl's Hill,"8,420",330,310,270,280,410,470,530,490,550,590,710,760,730,580,540,360,260,240,,,
,People's Park,430,10,10,10,10,30,40,50,50,40,30,30,40,40,30,20,10,10,10,,,
Pasir Ris,Total,"136,730","5,880","7,410","10,270","13,700","11,760","7,550","8,210","9,250","10,910","14,520","12,700","9,140","5,940","3,390","2,320","1,650","1,170",960,,,
,Flora Drive,"12,420",560,700,880,1050,940,610,740,1020,"1,070","1,220","1,070",870,600,320,240,180,150,190,,,
,Loyang East,"2,210",70,100,140,180,200,130,130,130,170,160,240,200,140,80,50,30,20,30,,,
,Loyang West,200,-,-,-,-,-,-,-,-,-,10,-,10,10,10,10,40,40,70,,,
,Pasir Ris Central,"22,650",940,"1,200","1,660","2,300","1,960","1,230","1,380","1,460","1,790","2,430","2,220","1,570",970,600,370,280,190,130,,,
,Pasir Ris Drive,"60,960","2,560","3,130","4,380","6,190","5,770","3,660","3,630","3,840","4,370","6,250","5,900","4,280","2,860","1,590","1,030",700,480,340,,,
,Pasir Ris Park,"1,800",110,100,150,140,100,80,120,170,200,210,150,100,60,40,30,20,10,10,,,
,Pasir Ris Wafer Fab Park,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Pasir Ris West,"36,470","1,640","2,190","3,060","3,830","2,780","1,830","2,210","2,640","3,300","4,230","3,130","2,100","1,310",760,580,410,280,190,,,
