"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2011",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
,Bangkit,"25,230",1040,1260,"1,610","1,980","2,210","1,770","1,690","1,740","1,840","2,410","2,390","1,770","1,280",750,640,430,250,190,,,
,Dairy Farm,"3,730",130,170,250,340,360,250,160,230,260,350,390,310,250,110,70,50,40,30,,,
,Fajar,"23,380","1,410","1,460","1,610","1,800","1,910","1,690","1,890","2,030","1,800","2,010","1,860","1,440",980,550,400,280,160,100,,,
,Jelebu,"35,030","1,640","2,040","2,540","2,770","2,830","2,350","2,350","2,800","2,870","3,190","3,140","2,410","1,690",890,680,450,240,170,,,
,Nature Reserve,"3,670",190,230,300,280,240,200,220,310,370,360,310,240,180,90,70,50,30,20,,,
,Saujana,"22,080","1,210","1,460","1,680","1,770","1,750","1,660","1,680","1,790","1,770","1,880","1,930","1,460",950,390,280,210,150,100,,,
,Senja,"16,280","1,230","1,360","1,210",940,980,"1,110","1,560","1,980","1,360","1,220","1,080",810,590,270,230,170,110,100,,,
Bukit Timah,Total,"70,420","3,100","4,400","4,660","5,080","4,750","3,690","3,920","5,480","6,170","6,120","5,720","4,970","4,340","2,600","2,210","1,490",960,760,,,
,Anak Bukit,"21,970",840,"1,250","1,480","1,800","1,770","1,350","1,230","1,490","1,680","1,820","1,980","1,660","1,310",780,660,450,230,190,,,
,Coronation Road,"5,690",290,380,370,370,350,270,330,500,510,460,400,360,350,240,210,130,90,90,,,
,Farrer Court,"3,720",140,210,220,210,200,200,220,260,310,330,290,260,270,150,170,140,90,60,,,
,Hillcrest,"8,420",400,620,590,540,500,350,410,730,830,830,680,490,460,300,280,180,140,90,,,
,Holland Road,"8,760",440,640,650,640,530,390,450,750,890,790,690,570,460,270,260,160,110,90,,,
,Leedon Park,"5,880",290,290,340,360,360,320,410,510,530,500,470,450,410,250,150,110,90,70,,,
,Swiss Club,"5,300",240,370,350,380,330,260,260,410,500,490,390,380,300,190,150,120,110,70,,,
,Ulu Pandan,"10,680",470,650,660,790,720,550,600,840,910,890,840,810,790,420,340,200,110,100,,,
Central Water Catchment,Total,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Central Water Catchment,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Changi,Total,"2,420",190,210,190,140,120,120,210,280,250,190,140,90,90,50,40,40,20,40,,,
,Changi Airport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Changi Point,820,20,30,40,40,50,40,30,60,80,80,80,70,60,30,30,20,20,40,,,
,Changi West,"1,600",170,180,140,110,70,80,170,230,170,110,60,20,30,20,20,10,10,-,,,
Changi Bay,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Changi Bay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Choa Chu Kang,Total,"173,760","8,720","11,000","14,530","15,840","12,340","11,580","12,410","13,860","15,980","17,380","13,930","9,930","6,580","3,210","2,730","1,830","1,180",730,,,
,Choa Chu Kang Central,"20,230",830,"1,150","1,610","2,040","1,570","1,350","1,270","1,510","1,800","2,170","1,740","1,170",810,420,350,220,130,90,,,
,Choa Chu Kang North,"34,010","1,490","2,420","3,650","3,690","2,270","1,840","1,770","2,370","3,750","3,930","2,670","1,690","1,000",440,440,280,210,90,,,
,Keat Hong,"16,310",670,950,"1,430","1,730","1,210","1,050",1100,"1,200","1,460","1,720","1,390",930,600,270,240,180,110,90,,,
,Peng Siang,"31,030","1,460","1,900","2,480","2,800","2,250","2,210","2,310","2,390","2,710","3,030","2,540","1,950","1,300",550,430,320,240,160,,,
,Teck Whye,"26,930","1,140","1,310","1,840","2,350","2,250","1,990","1,720","1,840","1,970","2,630","2,330","1,880","1,410",800,670,420,250,130,,,
,Yew Tee,"45,260","3,130","3,270","3,530","3,230","2,800","3,150","4,240","4,550","4,300","3,890","3,270","2,320","1,450",740,610,410,240,160,,,
Clementi,Total,"91,650","4,210","4,370","4,810","4,710","5,070","6,270","7,690","7,800","7,240","7,550","6,740","7,000","7,060","3,710","3,300","1,980","1,260",900,,,
,Clementi Central,"13,750",660,670,690,670,670,960,"1,270","1,260","1,080","1,080",1010,1000,1020,550,500,330,210,140,,,
,Clementi North,"29,300","1,160","1,220","1,300","1,240","1,460","2,080","2,570","2,500","2,180","2,310","2,050","2,350","2,540","1,390","1,270",790,530,370,,,
,Clementi West,"17,300",840,820,940,930,970,"1,250","1,460","1,450","1,420","1,440","1,370","1,380","1,230",630,520,310,190,130,,,
,Clementi Woods,"15,110",710,700,780,820,940,"1,030","1,230","1,210","1,110","1,330","1,130","1,130","1,190",580,570,310,190,140,,,
,Faber,"4,370",210,270,360,330,280,240,260,350,430,410,340,280,250,130,120,70,30,30,,,
,Pandan,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Sunset Way,"6,670",280,340,400,410,460,420,450,470,540,580,500,550,510,260,220,130,80,70,,,
,Toh Tuck,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,West Coast,"5,110",360,350,330,310,290,290,430,550,480,390,350,310,310,160,100,40,30,30,,,
Downtown Core,Total,"3,690",120,120,130,140,170,250,300,350,340,300,310,260,290,160,180,100,80,100,,,
,Anson,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bayfront Subzone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bugis,"2,630",80,80,100,100,140,160,180,210,200,200,230,200,240,140,160,80,70,60,,,
,Cecil,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Central Subzone,300,10,10,10,10,10,30,40,40,50,30,30,20,10,-,-,-,-,-,,,
,City Hall,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Clifford Pier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina Centre,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Maxwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Phillip,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Raffles Place,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tanjong Pagar,460,20,10,10,20,10,40,50,60,40,40,40,20,30,10,10,10,10,30,,,
Geylang,Total,"120,120","5,300","5,540","6,470","7,420","7,730","8,410","9,370","9,630","8,960","9,820","10,120","8,950","7,540","4,340","4,220","2,970","1,960","1,380",,,
,Aljunied,"42,450","1,870","1,880","2,180","2,460","2,490","2,890","3,380","3,760","3,310","3,480","3,520","3,150","2,720","1,540","1,510","1,050",740,530,,,
,Geylang East,"33,660","1,680","1,520","1,780","2,020","2,120","2,500","2,860","2,750","2,360","2,560","2,610","2,530","2,320","1,220","1,140",770,550,370,,,
,Kallang Way,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Kampong Ubi,"13,930",580,730,840,1100,"1,310","1,140","1,080",990,940,1180,"1,320","1,080",740,360,250,160,90,70,,,
,Macpherson,"30,030",1160,"1,410","1,660","1,850","1,820","1,880","2,040","2,120","2,340","2,600","2,660","2,190","1,770","1,230","1,330","1,000",570,410,,,
Hougang,Total,"217,220","8,880","10,790","13,930","16,360","16,340","15,090","14,920","15,990","16,560","19,580","19,850","16,420","12,220","6,650","5,650","3,810","2,370","1,800",,,
,Defu Industrial Park,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Hougang Central,"5,100",210,250,380,420,400,350,320,330,430,480,470,350,240,130,120,100,70,40,,,
,Hougang East,"19,350",690,810,1190,"1,770","1,650","1,480","1,350","1,230","1,290","1,860","1,900","1,530","1,070",560,410,260,170,140,,,
,Hougang West,"53,350","2,010","2,320","3,170","4,180","4,650","4,060","3,630","3,680","3,800","5,020","5,200","4,230","3,030","1,550","1,220",820,490,330,,,
,Kangkar,"25,580",990,"1,380","1,640","1,750","1,750","1,690","1,690","2,070","2,100","2,330","2,270","1,900","1,400",860,770,490,310,220,,,
,Kovan,"23,450",960,"1,110","1,500","1,860","1,970","1,560","1,470","1,660","1,610","1,970","2,160","1,860","1,410",710,670,400,300,290,,,
,Lorong Ah Soo,"34,280","1,230","1,540","1,990","2,200","2,300","2,470","2,450","2,420","2,610","2,820","3,060","2,770","2,290","1,370","1,150",830,470,340,,,
,Lorong Halus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Tai Seng,"12,890",510,690,880,910,920,840,870,960,980,"1,110","1,050",960,730,430,400,300,200,150,,,
,Trafalgar,"43,200","2,280","2,700","3,180","3,280","2,710","2,640","3,140","3,650","3,750","4,000","3,750","2,820","2,060","1,040",910,620,380,290,,,
Jurong East,Total,"86,980","3,810","4,440","5,120","5,640","6,260","7,000","7,000","6,830","6,590","6,910","7,210","6,860","5,630","2,720","2,200","1,360",820,610,,,
,International Business Park,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong Gateway,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Jurong River,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Lakeside,"1,100",40,30,40,60,80,100,90,100,100,80,80,90,90,50,50,30,10,10,,,
,Penjuru Crescent,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Teban Gardens,"19,230",920,960,1100,"1,150","1,300","1,500","1,660","1,470","1,360","1,420","1,470","1,540","1,490",750,520,320,180,120,,,
,Toh Guan,"17,500",840,1000,"1,190","1,260","1,370","1,420","1,350","1,400","1,480","1,490","1,580","1,280",800,350,290,180,130,100,,,
,Yuhua East,"29,230",1170,"1,440","1,600","1,840","1,980","2,470","2,370","2,300","2,140","2,360","2,420","2,340","1,970","1,000",820,500,300,230,,,
,Yuhua West,"19,880",840,1020,"1,200","1,320","1,520","1,490","1,520","1,550","1,510","1,560","1,660","1,610","1,290",570,520,330,200,170,,,
Jurong West,Total,"270,140","15,530","16,760","18,200","18,960","18,640","21,570","25,090","24,340","22,440","22,060","19,940","17,620","12,860","5,970","4,660","2,840","1,590","1,060",,,
,Boon Lay Place,"26,340","1,430","1,530","1,730","1,750","1,650","1,900","2,160","2,270","2,380","2,320","1,980","1,750","1,420",770,630,370,200,120,,,
,Chin Bee,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Hong Kah,"59,330","2,610","3,270","3,710","3,890","4,410","4,800","4,800","4,910","4,620","4,770","4,740","4,660","3,520","1,770","1,370",780,450,270,,,
,Jurong West Central,"69,460","5,410","4,880","4,290","3,770","4,300","6,120","8,460","7,640","5,580","4,800","4,590","3,970","2,700","1,070",840,550,280,210,,,
,Kian Teck,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Safti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Taman Jurong,"33,320","1,760","1,960","2,420","2,510","2,330","2,500","2,580","2,670","3,010","2,810","2,600","2,210","1,630",800,650,450,280,160,,,
,Wenya,"8,370",840,700,410,310,400,790,"1,290",980,630,490,430,420,300,140,110,60,30,60,,,
,Yunnan,"73,270","3,490","4,410","5,660","6,740","5,550","5,450","5,800","5,870","6,210","6,860","5,610","4,600","3,300","1,420","1,070",630,360,230,,,
Kallang,Total,"101,980","4,490","4,580","4,830","5,090","5,410","6,750","8,120","8,860","8,200","8,000","8,240","7,590","7,040","4,230","4,340","2,900","1,910","1,410",,,
,Bendemeer,"32,790","1,430","1,410","1,490","1,680","1,900","2,410","2,790","2,800","2,470","2,390","2,710","2,530","2,260","1,280","1,310",880,580,470,,,
,Boon Keng,"11,440",470,490,550,600,630,820,930,940,920,880,970,840,760,440,470,340,240,150,,,
,Crawford,"9,960",340,350,360,400,420,560,570,660,630,780,860,810,930,600,690,470,300,220,,,
,Geylang Bahru,"13,590",580,610,700,680,690,850,1040,1140,"1,120","1,140","1,110",980,870,580,620,430,280,180,,,
,Kallang Bahru,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Kampong Bugis,850,30,30,30,50,70,80,70,50,40,60,90,100,80,30,30,20,10,10,,,
,Kampong Java,"11,820",560,560,590,590,590,760,990,1110,"1,000",930,860,840,830,500,470,290,190,180,,,
,Lavender,"10,550",500,490,470,510,600,700,860,950,860,810,830,740,760,440,450,290,180,100,,,
,Tanjong Rhu,"10,970",580,640,630,570,510,580,880,"1,200","1,170","1,010",820,750,550,360,310,190,140,100,,,
Lim Chu Kang,Total,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Lim Chu Kang,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Mandai,Total,"2,030",120,120,180,160,130,120,130,190,190,190,150,110,90,60,40,30,20,10,,,
,Mandai East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Mandai Estate,"2,030",120,120,180,160,130,120,130,190,190,190,150,110,90,60,40,30,20,10,,,
,Mandai West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marina East,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marina South,Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marina South,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Marine Parade,Total,"48,350","2,260","2,670","2,760","2,840","2,670","2,530","3,430","4,330","4,160","3,950","3,640","3,190","3,070","1,980","1,920","1,380",930,650,,,
,East Coast,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Katong,"9,380",440,580,570,640,540,470,660,870,840,790,710,610,540,310,300,220,160,140,,,
,Marina East (Mp),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Marine Parade,"29,150","1,390","1,540","1,580","1,570","1,490","1,510","2,060","2,620","2,440","2,320","2,140","1,930","1,880","1,330","1,390",970,640,400,,,
,Mountbatten,"9,820",430,550,610,630,650,550,710,840,880,840,790,650,650,340,240,190,140,120,,,
Museum,Total,350,20,10,10,10,10,20,40,60,40,40,30,20,20,10,10,10,10,10,,,
,Bras Basah,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Dhoby Ghaut,190,10,10,-,10,10,10,30,30,20,20,10,10,10,-,-,-,-,-,,,
,Fort Canning,150,10,10,10,-,-,10,10,20,20,10,20,10,10,10,-,-,-,-,,,
Newton,Total,"6,390",300,400,350,350,320,320,410,600,680,620,480,450,400,230,170,140,90,80,,,
,Cairnhill,"2,960",160,170,160,150,160,160,200,290,300,260,220,210,190,110,90,70,50,40,,,
,Goodwood Park,800,50,70,50,40,40,40,50,100,110,70,60,40,40,10,10,10,10,10,,,
,Istana Negara,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Monk's Hill,1070,40,90,80,60,50,50,60,100,120,110,80,60,50,40,30,30,20,10,,,
,Newton Circus,160,10,10,10,10,10,10,10,20,20,30,10,10,10,-,-,-,-,-,,,
,Orange Grove,"1,350",60,50,60,90,80,60,80,90,140,150,120,130,110,60,30,30,10,10,,,
North-Eastern Islands,Total,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,North-Eastern Islands,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Novena,Total,"46,820","2,310","2,540","2,570","2,610","2,590","2,740","3,480","4,190","4,030","4,040","3,610","3,140","2,760","1,730","1,670","1,220",840,770,,,
,Balestier,"32,600","1,580","1,540","1,630","1,740","1,810","2,050","2,640","2,910","2,690","2,700","2,510","2,200","1,960","1,270","1,290",910,640,560,,,
,Dunearn,"3,740",140,230,270,290,220,170,160,230,320,390,310,260,240,150,130,110,60,70,,,
,Malcolm,"2,690",140,190,170,160,160,120,140,220,230,260,230,190,160,90,70,60,50,50,,,
,Moulmein,"7,130",440,560,450,370,350,360,510,800,760,630,500,430,340,180,170,120,80,80,,,
,Mount Pleasant,650,20,20,50,50,50,50,30,30,50,70,70,50,50,30,10,20,10,10,,,
Orchard,Total,820,40,40,40,30,40,40,60,90,70,70,80,70,70,30,20,10,10,10,,,
,Boulevard,320,20,20,10,-,20,20,20,30,30,20,30,30,30,10,10,10,10,10,,,
,Somerset,120,10,10,10,-,-,-,10,20,10,10,10,10,10,10,-,-,-,-,,,
,Tanglin,370,20,10,20,20,20,10,30,40,30,40,40,40,30,10,10,-,-,-,,,
Outram,Total,"21,680","1,220",750,690,780,920,"1,460","2,190","1,860","1,500","1,540","1,590","1,630","1,620","1,070","1,110",800,490,480,,,
,China Square,"1,730",30,30,60,80,70,120,120,120,130,150,150,180,170,100,100,60,40,30,,,
,Chinatown,"11,140",830,430,330,380,420,790,"1,520","1,150",790,750,710,670,680,440,470,350,200,230,,,
,Pearl's Hill,"8,370",350,290,280,310,410,500,490,540,560,610,710,740,740,500,530,380,240,220,,,
,People's Park,450,10,10,10,20,20,50,60,50,30,30,30,40,40,20,20,10,10,-,,,
Pasir Ris,Total,"133,790","6,220","8,040","11,570","13,920","9,680","7,340","8,370","9,690","12,070","14,650","11,320","7,730","5,120","2,480","2,150","1,610","1,020",820,,,
,Flora Drive,"11,940",570,720,900,1060,830,600,800,960,"1,070","1,190","1,000",810,490,260,220,160,140,170,,,
,Loyang East,"2,240",70,140,160,210,180,140,120,140,190,190,210,190,120,60,40,30,20,30,,,
,Loyang West,220,-,-,-,-,-,-,-,-,10,-,-,10,10,10,20,40,30,70,,,
,Pasir Ris Central,"20,730",860,"1,180","1,770","2,220","1,540","1,140","1,220","1,350","1,750","2,380","1,950","1,300",840,390,320,270,180,90,,,
